event_id,period,date,time,date_precision,time_precision,location,event_description,related_people,related_evidence,related_claims,supporting_documents,page_references,verification_status,confidence,notes,uncertainty_flags
CHR-0013,December 1948 investigation,1948-12-02,Unknown,Exact,Unknown,Postmortem / analytical chain; exact location not established,"Robert James Cowan received specimens including stomach and contents, liver and muscle, urine and blood from the unidentified man found at Somerton the previous day.",Robert James Cowan; P.C. Sutherland; unknown man,EV-0017,PA2025-006; PA2025-007,DOC-0001,p.47,Verified,High,Specimens and receipt date are supported by Cowan deposition.,Exact laboratory custody details incomplete
CHR-0014,December 1948 investigation,1948-12-02,Unknown,Exact,Unknown,Analytical laboratory; exact location not established,Cowan carried out analyses of the specimens and was unable to find signs of any common poison.,Robert James Cowan,EV-0017,PA2025-006; PA2025-007; PA2025-012,DOC-0001,p.47,Partially Verified,High,"Supports negative common-poison testing, not absence of all possible poisons.",Exact test panel limited by deposition wording
CHR-0015,December 1948 investigation,December 1948 or later,Unknown,Date range,Unknown,Clothing/body examination; exact location not established,The Tamam Shud slip was found in a trouser fob pocket that was difficult to locate.,Unknown man; examining witness,EV-0001; EV-0005,PA2025-043; PA2025-065,DOC-0001,"pp.5,81",Verified,High,Source states it was not found for some time afterwards; exact discovery date remains unresolved.,Exact discovery date/time unknown; finder identity requires page-level indexing
CHR-0016,December 1948 investigation,December 1948 or later,Unknown,Date range,Unknown,Investigation records; exact location not established,The Tamam Shud paper was associated by the coroner with a copy of the second edition of Fitzgerald's translation of the Rubaiyat of Omar Khayyam.,Unknown man; Coroner Cleland,EV-0001; EV-0002,PA2025-044; PA2025-065,DOC-0001,p.5,Partially Verified,High,The coroner states satisfaction that the paper was torn from such a copy; book-recovery chronology remains unresolved.,Exact book recovery date/provenance unresolved
CHR-0017,December 1948 investigation,A little over a month after 1948-12-01,Unknown,Approximate,Unknown,Adelaide Railway Station luggage office,An unclaimed suitcase was found at the Adelaide Railway Station luggage office.,Unknown man,EV-0003,PA2025-066,DOC-0001,"pp.5,7",Partially Verified,High,The coroner describes internal evidence connecting it to the deceased or his death; exact date and custody path need property records.,Exact date unknown; chain of custody incomplete
CHR-0018,December 1948 investigation,A little over a month after 1948-12-01,Unknown,Approximate,Unknown,Adelaide Railway Station luggage office / property examination,"The suitcase was assessed as having internal evidence connecting it with the deceased or his death, including clothing size, removed tags and thread similarity.",Unknown man,EV-0003; EV-0004; EV-0005,PA2025-038,DOC-0001,p.7,Partially Verified,High,"Connection is supported in coroner remarks, but exact property inventory and custody remain gaps.",Property inventory incomplete; exact evidentiary basis needs page-level exhibit index
CHR-0019,1949 inquest period,1949-06-17,Unknown,Exact,Unknown,"Coroner proceedings, Adelaide",The 1949 inquest file includes proceedings and remarks concerning the death of the body located at Somerton.,Thomas Erskine Cleland; John Dwyer; Robert James Cowan; unknown man,EV-0001; EV-0005; EV-0017,PA2025-001; PA2025-002; PA2025-003; PA2025-006; PA2025-007; PA2025-012; PA2025-063; PA2025-064; PA2025-065,DOC-0001,"DOC-0001 metadata; pp.5-9,37-47,75,81,85",Verified,High,Proceeding date comes from primary-document inventory/source citation; official copy comparison still recommended.,Exact sitting schedule/page sequence requires official file comparison
CHR-0020,1949 inquest period,1949-06-17 to 1949-06-21,Unknown,Date range,Unknown,"Coroner proceedings, Adelaide","The coroner adjourned the inquest sine die after recording that the deceased was unknown, death was not natural, and precise circumstances/cause could not be conclusively stated.",Thomas Erskine Cleland; unknown man,EV-0017; EV-0001,PA2025-012,DOC-0001,"pp.7,9",Verified,High,"This records the status of the inquest finding, not a final cause-of-death conclusion.",Exact final legal wording should be checked against official custodian copy
CHR-0021,1950-1958 later inquest/developments,1958-03-14,Unknown,Exact,Unknown,Coronial record / State Records SA reference,A later inquest/coronial file is identified as GRG 1/27 File 53/1958.,Unknown man; Coroner records,EV-0001; EV-0002; EV-0007,PA2025-012; PA2025-065,DOC-0002; SRC-0002,DOC-0002 metadata; Mission 3 inventory,Partially Verified,Moderate,The document was acquired as a later reproduction but OCR is unavailable; content requires visual review and official access status remains restricted.,Content not reviewed; access restricted at original custodian
CHR-0022,Post-1958 archival and media developments,2014-05-14,Unknown,Exact,Unknown,"Births, Deaths and Marriages Registration Office, Adelaide",A certified copy of the unknown man death certificate was issued by the Registrar.,Unknown man; Registrar,EV-0018,PA2025-012; PA2025-064,DOC-0003,DOC-0003 p.1,Partially Verified,High,"This is a later certified copy event, not the original death event.",OCR partial; visual review recommended
CHR-0024,Post-1958 archival and media developments,2009-04-15,Unknown,Exact,Unknown,State Coroner / archive return process,The preserved 1949 inquest reproduction includes an administrative return/date stamp sequence indicating archival handling before digitization.,Administrative Officer Laura Millard; State Coroner Office,DOC-0001,N/A,DOC-0001,p.1 OCR/front matter,Partially Verified,Moderate,"This is an archival-processing event visible in the reproduction, not a case-investigation event.",Digitization path and official custody chain incomplete
CHR-0025,2021 exhumation,2021-05-19,Morning pending,Exact,Unknown,West Terrace Cemetery,Reported exhumation of remains for modern forensic/DNA work remains outside the acquired primary-source archive reviewed in Mission 4.,Unknown man; SAPOL/FSSA officials pending,EV-0018,PA2025-023,SRC-0008; SRC-0009; SRC-0010 listed in source register but not acquired primary archive,N/A,Unable to Verify,Unknown,Retained as a later-period placeholder only; requires SAPOL/FSSA primary release.,Official source not preserved/reviewed; details pending
CHR-0026,2022-present genetic genealogy and modern identity claims,2022-07-26 to 2022-07-27,Unknown,Date range,Unknown,Public/research announcement and SAPOL response context,Modern claim identifying the man as Carl/Charles Webb remains unsupported by the acquired primary-source archive.,Carl Charles Webb attribution; Derek Abbott; Colleen Fitzpatrick; SAPOL pending,EV-0006; EV-0018,PA2025-024; PA2025-025; PA2025-030,SRC-0011 listed as pending source; no acquired DNA report,N/A,Unable to Verify,Unknown,Retained as a later-period placeholder only; not a verified identity event.,No official DNA/forensic report acquired; official status unresolved
