claim_id,original_claim,verification_status,supporting_documents,contradictory_documents,relevant_page_numbers,quoted_evidence,evidence_summary,source_quality,confidence,outstanding_questions,recommended_revision,notes
PA2025-011,"No container, residue, or administration method was found.",Partially Verified,"DOC-0001 pp. 5, 7",,"DOC-0001 pp. 5, 7",,Reviewed inquest inventory lists carried items but does not show a poison container/residue/administration method; absence is not a complete proof across all property records.,Primary reproduction / official record reproduction,Moderate,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Revise to: reviewed inquest passages do not identify a poison container or administration method.,No hypothesis evaluation performed.
PA2025-012,The official cause of death was left unknown.,Verified,"DOC-0001 pp. 7, 9; DOC-0003",,"DOC-0001 pp. 7, 9",,Coroner evidence records inability to identify a specific cause while finding death not natural/probably poison; death certificate copy concerns unknown man.,Primary reproduction / official record reproduction,High,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Revise to: precise medical cause remained undetermined in available coronial material.,No hypothesis evaluation performed.
PA2025-013,"Jessica Thomson, also known as Jestyn, lived near Somerton Beach.",Unable to Verify,DOC-0019 may assist location research,,,,Jetty Road extract does not by itself verify Jessica Thomson residence in relation to Somerton Beach.,"Acquired primary-source lead, not sufficient alone",Unknown,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Acquire electoral rolls/directories/police interview notes.,No hypothesis evaluation performed.
PA2025-014,A phone number found in a Rubaiyat copy was linked to Jessica Thomson.,Partially Verified,DOC-0005; DOC-0006; DOC-0019 mapped but OCR unavailable,,,,Primary-source reproductions likely relate to Rubaiyat/phone lead but require visual page review; no OCR-supported passage was extracted.,"Acquired primary-source lead, not sufficient alone",Low,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Do not state as verified until police-file pages are manually transcribed.,No hypothesis evaluation performed.
PA2025-015,Jessica Thomson denied knowing the deceased but reportedly showed visible shock during police interview.,Unable to Verify,,,,,No acquired primary-source passage records Jessica Thomson interview behavior or denial.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Acquire interview notes or reliable transcript.,No hypothesis evaluation performed.
PA2025-016,Robin Thomson bore a strong physical resemblance to the Somerton Man.,Unsupported,,,,,No acquired primary material verifies resemblance claim.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Requires image-comparison source; avoid claim wording.,No hypothesis evaluation performed.
PA2025-017,DNA later confirmed a partial link involving Robin Thomson.,Unsupported,,,,,No acquired primary forensic/DNA report verifies partial DNA link involving Robin Thomson.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Requires FSSA/SAPOL or published genetic-genealogy evidence.,No hypothesis evaluation performed.
PA2025-018,The victim may have held or used a Melbourne-Adelaide train ticket.,Unsupported,,,,,"Acquired inquest evidence supports Henley Beach ticket and bus ticket, not a Melbourne-Adelaide train ticket.",No supporting primary source in acquired archive,Moderate,Need primary source acquisition before verification.,Remove or mark as separate unverified lead.,No hypothesis evaluation performed.
PA2025-019,An unused Henley Beach train ticket was associated with the case.,Verified,"DOC-0001 pp. 5, 7, 75",,"DOC-0001 pp. 5, 7, 75",DOC-0001 records a single uncancelled railway ticket from Adelaide to Henley Beach.,Inquest records a single uncancelled railway ticket from Adelaide to Henley Beach and ticket-clerk evidence.,Primary reproduction / official record reproduction,High,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Revise to: an uncancelled Adelaide-to-Henley Beach railway ticket was associated with the body.,No hypothesis evaluation performed.
PA2025-020,There were no confirmed friends or close contacts in Adelaide.,Unable to Verify,DOC-0010; DOC-0011; DOC-0014 are comparison leads,,,,No acquired source proves absence of friends/contacts in Adelaide.,"Acquired primary-source lead, not sufficient alone",Unknown,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Requires police canvassing records; do not assert negative as fact.,No hypothesis evaluation performed.
PA2025-021,There was no confirmed family in South Australia.,Unable to Verify,DOC-0010; DOC-0011; DOC-0016; DOC-0017 are comparison leads,,,,No acquired source proves absence of family in South Australia.,"Acquired primary-source lead, not sufficient alone",Unknown,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Requires police identification and genealogical records.,No hypothesis evaluation performed.
PA2025-022,No proven links existed to criminal or intelligence circles.,Unsupported,,,,,No acquired source reviews criminal/intelligence links.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Do not state as factual without archive search criteria.,No hypothesis evaluation performed.
PA2025-023,Forensic genealogists used hair from the death mask and exhumed remains in or after 2021.,Unsupported,DOC-0012 mapped only,,,,No acquired source verifies hair from death mask/exhumed remains used by forensic genealogists.,"Acquired primary-source lead, not sufficient alone",Unknown,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Requires 2021+ official/research documentation.,No hypothesis evaluation performed.
PA2025-024,"A family tree built from distant relatives identified Carl or Charles Webb, born 1905 in Melbourne, as the best fit.",Unsupported,DOC-0016; DOC-0017 mapped only,,,,Fingerprint/tooth charts do not verify DNA family-tree identification.,"Acquired primary-source lead, not sufficient alone",Unknown,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Requires DNA methodology source.,No hypothesis evaluation performed.
PA2025-025,Carl Webb was an electrical engineer or instrument maker.,Unable to Verify,DOC-0021; DOC-0022; DOC-0023 located but not acquired,,,,"Directories may help, but no acquired material verifies Webb occupation.","Acquired primary-source lead, not sufficient alone",Unknown,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Acquire directories/electoral/employment records.,No hypothesis evaluation performed.
PA2025-026,Carl Webb separated from his wife around the time of disappearance.,Unable to Verify,,,,,No divorce/marriage/court source acquired.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Acquire civil and court records.,No hypothesis evaluation performed.
PA2025-027,Carl Webb had no known direct offspring.,Unable to Verify,,,,,No genealogy source acquired.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Acquire family tree/civil records.,No hypothesis evaluation performed.
PA2025-028,There was a possible indirect DNA link to Robin Thomson.,Unsupported,,,,,No acquired primary DNA evidence supports indirect DNA link claim.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Requires DNA report.,No hypothesis evaluation performed.
PA2025-029,Carl Webb's family was unaware of an Adelaide connection.,Unable to Verify,,,,,No family-statement source acquired.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Acquire interview/source statement if legally usable.,No hypothesis evaluation performed.
PA2025-030,Carl Webb disappeared from records after 1947.,Unable to Verify,DOC-0021; DOC-0022; DOC-0023 located but not acquired,,,,No acquired records track Webb after 1947.,"Acquired primary-source lead, not sufficient alone",Unknown,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Acquire directories/electoral/civil records.,No hypothesis evaluation performed.
PA2025-031,Released Venona cables contain no direct reference to a Somerton-related death as of 2024.,Unable to Verify,,,,,Venona corpus not acquired/reviewed in Mission 4 archive.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Separate intelligence archive search required.,No hypothesis evaluation performed.
PA2025-032,Soviet cipher traffic was high in Australia after World War II.,Unable to Verify,,,,,No primary intelligence traffic source acquired.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Use NAA/ASIO/Venona sources in later context review.,No hypothesis evaluation performed.
PA2025-033,No declassified ASIO or MI5 document explicitly references Webb or Somerton Man by name or alias.,Unable to Verify,,,,,No comprehensive ASIO/MI5 search record acquired.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Cannot verify a negative without search log and corpus.,No hypothesis evaluation performed.
PA2025-034,Agent elimination and message killings occurred in other Commonwealth countries at the time.,Unsupported,,,,,No acquired source verifies comparative Commonwealth message killings at the time.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Remove from factual matrix or source separately.,No hypothesis evaluation performed.
PA2025-035,"No open-source codeword, phrase, or signal is directly linked to Tamam Shud.",Unable to Verify,,,,,No cryptographic corpus/source acquired to verify negative.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Requires defined search corpus.,No hypothesis evaluation performed.
PA2025-036,The Rubaiyat was sometimes used as a codebook in pre-digital cryptography.,Unsupported,DOC-0018; DOC-0020 mapped only,,,,No acquired source proves Rubaiyat use as codebook in agencies.,"Acquired primary-source lead, not sufficient alone",Unknown,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Requires documented cryptographic examples.,No hypothesis evaluation performed.
PA2025-037,"The deceased was middle-aged, professionally skilled, neatly dressed, clean, and well groomed.",Partially Verified,"DOC-0001 pp. 5, 7, 37; DOC-0017",,"DOC-0001 pp. 5, 7, 37",,Inquest supports clothing of fairly good quality and middle-aged male. Professional skill is not supported by 1949 primary sources.,Primary reproduction / official record reproduction,High,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Split appearance/age from later identity/occupation claim.,No hypothesis evaluation performed.
PA2025-038,Extreme care was taken to remove identifying material.,Partially Verified,"DOC-0001 pp. 5, 7, 81",DOC-0001 p. 81,"DOC-0001 pp. 5, 7, 81",DOC-0001 states tags that might identify him had been removed; later evidence says recent removal was not shown.,Coroner says tags that might identify him had been removed; witness/examiner evidence notes tags appeared removed but no threads showed recent removal.,Primary reproduction / official record reproduction,High,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Revise to avoid motive: identifying tags appeared removed; timing/actor unknown.,No hypothesis evaluation performed.
PA2025-039,There were no clear signs of long-term suicide planning.,Unsupported,,,,,No acquired source evaluates suicide planning.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Analytical claim; not verified in Mission 4.,No hypothesis evaluation performed.
PA2025-040,"If self-administered poisoning occurred, it involved unusually high operational security.",Unsupported,,,,,Operational-security characterization is analytical and unsupported by acquired primary evidence.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Move to analytical confidence register only after evidence review.,No hypothesis evaluation performed.
PA2025-041,"If externally administered, the victim may have been lured or incapacitated.",Unsupported,,,,,Speculative scenario not supported by acquired primary sources.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,"Keep as hypothesis, not claim.",No hypothesis evaluation performed.
PA2025-042,"The body appeared posed, calm, or peaceful.",Partially Verified,"DOC-0001 pp. 5, 7",,"DOC-0001 pp. 5, 7",,Inquest describes body position and witness observations; words posed/calm/peaceful are interpretive.,Primary reproduction / official record reproduction,High,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Revise to body-position facts only.,No hypothesis evaluation performed.
PA2025-043,The Tamam Shud slip was hidden rather than displayed.,Verified,"DOC-0001 pp. 5, 7",,"DOC-0001 pp. 5, 7",DOC-0001 states the paper was in the fob pocket and was not found for some time afterwards.,Inquest states Tamam Shud paper was in the fob pocket and not found for some time.,Primary reproduction / official record reproduction,High,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Revise to: slip was found in trouser fob pocket; do not infer intended concealment.,No hypothesis evaluation performed.
PA2025-044,A Rubaiyat book associated with the case had a torn page and writing inside the back cover.,Partially Verified,DOC-0001 p. 5; DOC-0015,,DOC-0001 p. 5,,Inquest supports paper torn from Rubaiyat edition; code image shows letter strings. Full claim about writing inside back cover requires provenance review of image/book.,Primary reproduction / official record reproduction,Moderate,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Separate torn-page match from code-writing evidence.,No hypothesis evaluation performed.
PA2025-045,"Somerton Beach was quiet, visible, and suitable for staged discovery.",Unsupported,,,,,Suitability for staged discovery is analytical and unsupported by acquired primary sources.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Do not use as fact.,No hypothesis evaluation performed.
PA2025-046,"Modern mass spectrometry could potentially detect preserved poison traces in hair, tissue, or embalmed remains.",Unsupported,,,,,Modern mass spectrometry possibility not addressed in acquired primary sources.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Requires forensic expert/literature source.,No hypothesis evaluation performed.
PA2025-047,Isotope analysis might assist with geographic origin of last meals or water source.,Unsupported,,,,,Isotope-analysis possibility not addressed in acquired primary sources.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Requires forensic expert/literature source.,No hypothesis evaluation performed.
PA2025-048,"Clothing fibers, microparticles, pollen, or sand might support travel or location analysis.",Unsupported,,,,,Trace fiber/pollen/sand possibility not addressed in acquired primary sources.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Requires preserved-evidence status and forensic source.,No hypothesis evaluation performed.
PA2025-049,The Rubaiyat letter strings are too brief for ordinary frequency analysis.,Unsupported,DOC-0015 image only,,,,Image shows short letter strings but does not itself verify cryptanalytic frequency-analysis claim.,"Acquired primary-source lead, not sufficient alone",Unknown,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Requires cryptanalytic assessment.,No hypothesis evaluation performed.
PA2025-050,The Rubaiyat writing may be a one-time pad or book cipher.,Unsupported,DOC-0015 image only,,,,Image does not verify one-time pad/book-cipher hypothesis.,"Acquired primary-source lead, not sufficient alone",Unknown,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Keep as hypothesis.,No hypothesis evaluation performed.
PA2025-051,No solution has been accepted by cryptographic authorities as of 2024.,Unable to Verify,,,,,No corpus of cryptographic-authority statements acquired.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Define authority set and source search.,No hypothesis evaluation performed.
PA2025-052,The Somerton Man death in December 1948 overlapped with the Berlin Blockade.,Unable to Verify,,,,,Berlin Blockade source not acquired in Mission 4 primary archive.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Verify from historical chronology sources later.,No hypothesis evaluation performed.
PA2025-053,ASIO was established in March 1949.,Unable to Verify,,,,,Official ASIO source was catalogued in Mission 2 but not part of acquired primary-source review set used here.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Verify in context-source matrix if needed.,No hypothesis evaluation performed.
PA2025-054,Five Eyes intelligence sharing was formalized between 1948 and 1950.,Unable to Verify,,,,,No official Five Eyes chronology source acquired/reviewed here.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Requires official/scholarly source.,No hypothesis evaluation performed.
PA2025-055,Woomera and Maralinga were sensitive defense or atomic sites relevant to foreign intelligence interest.,Unable to Verify,,,,,No defence-site primary record reviewed here; Maralinga chronology especially needs care.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Verify separately with NAA/official defence records.,No hypothesis evaluation performed.
PA2025-056,"Adelaide was geographically close to defense installations, research facilities, and military hubs.",Unable to Verify,,,,,No geographic/defence-location source reviewed here.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Verify with maps/official records.,No hypothesis evaluation performed.
PA2025-057,"Press coverage may show editorial shifts, contradictions, planted stories, suppression, or deliberate ambiguity.",Unable to Verify,DOC-0010; DOC-0011 only provide police gazette comparison corpus,,,,No newspaper corpus coding was performed; claim is an investigative question.,"Acquired primary-source lead, not sufficient alone",Unknown,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Build media corpus separately.,No hypothesis evaluation performed.
PA2025-058,"Handwriting in the Rubaiyat should be compared with samples from Carl Webb, Jessica Thomson, and other persons of interest.",Unsupported,DOC-0015 image only,,,,Code image can support future handwriting comparison but no comparison samples/results acquired.,"Acquired primary-source lead, not sufficient alone",Unknown,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Do not present as evidence yet.,No hypothesis evaluation performed.
PA2025-059,"Carl Webb's pre-death behavior should be reviewed for isolation, travel, relationship breakdown, financial or legal stress.",Unable to Verify,,,,,No Webb biographical/legal records acquired.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,"Acquire civil, employment, legal records.",No hypothesis evaluation performed.
PA2025-060,Technical skills and limited close ties could have made a person attractive for intelligence recruitment.,Unsupported,,,,,Intelligence recruitment attractiveness is analytical and unsupported by acquired primary sources.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Do not use as fact.,No hypothesis evaluation performed.
PA2025-061,AI or machine-learning tools could be applied to the Rubaiyat letter strings for pattern testing.,Unsupported,DOC-0015 image only,,,,"Image can support future testing, but no AI/ML analysis protocol or result exists.","Acquired primary-source lead, not sufficient alone",Unknown,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Keep as future research method.,No hypothesis evaluation performed.
PA2025-062,"The case should be compared with Krivitsky, Isdal Woman, Markov, Litvinenko, and other ambiguous or intelligence-linked deaths.",Partially Verified,DOC-0007; DOC-0008; DOC-0009,,,,"Comparative records for Mangnoson/Marshall were acquired, but no systematic comparison with all named cases was performed.","Acquired primary-source lead, not sufficient alone",Low,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Revise to: comparative source material for selected related cases exists.,No hypothesis evaluation performed.
PA2025-063,"November 30, 1948 was identified as the evening the man was last seen alive.",Verified,"DOC-0001 pp. 5, 7",,"DOC-0001 pp. 5, 7",,Inquest remarks state a man was seen at 7 p.m. on 30 Nov where body was later found; further witness detail in file.,Primary reproduction / official record reproduction,High,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Revise to: witnesses reported seeing a man at the site on evening 30 Nov 1948.,No hypothesis evaluation performed.
PA2025-064,"December 1, 1948 was identified as the date the body was discovered.",Verified,"DOC-0001 pp. 5, 7; DOC-0003",,"DOC-0001 pp. 5, 7",DOC-0001 says the body was found at Somerton about 7 a.m. on 1 Dec 1948.,Inquest states body found about 7 a.m. on 1 Dec 1948 at Somerton; death certificate also records date/place.,Primary reproduction / official record reproduction,Very High,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Use as core chronology fact.,No hypothesis evaluation performed.
PA2025-065,The Tamam Shud note and book were found during December 1948-1949.,Partially Verified,"DOC-0001 pp. 5, 7; DOC-0005; DOC-0006; DOC-0013",,"DOC-0001 pp. 5, 7",,"Inquest supports Tamam Shud slip and Rubaiyat link, but exact discovery dates for note and book remain unresolved.",Primary reproduction / official record reproduction,High,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Revise to separate slip discovery from book recovery and mark exact dates pending.,No hypothesis evaluation performed.
PA2025-066,"Key case locations include Somerton Beach, Jessica Thomson's residence, Adelaide railway station, Woomera Rocket Range, and Maralinga.",Partially Verified,DOC-0001; DOC-0019,,,,Somerton Beach and Adelaide/Henley/Glenelg locations are supported; Woomera and Maralinga are not supported as case locations by primary case records.,Primary reproduction / official record reproduction,High,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Remove Woomera/Maralinga from key case locations unless direct source found.,No hypothesis evaluation performed.
PA2025-067,"Leaving a body or message could warn insiders, silence defectors, demonstrate reach, or disrupt rival operations.",Unsupported,,,,,Speculative counterintelligence scenario unsupported by acquired primary sources.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Retain only as hypothesis if at all.,No hypothesis evaluation performed.
PA2025-068,Local authorities or intelligence agencies may have deflected focus away from espionage for political reasons.,Unsupported,,,,,No acquired evidence supports authority deflection from espionage.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Do not state without documentary evidence.,No hypothesis evaluation performed.
PA2025-069,Carl Webb had a connection to the J.C. Williamson theater company.,Unable to Verify,,,,,No J.C. Williamson/employment source acquired.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Acquire Webb employment/family records.,No hypothesis evaluation performed.
PA2025-070,"Tibor Kaldor was a linguist, recent migrant, and had cryptographic skills.",Unable to Verify,,,,,No Tibor Kaldor biographical source acquired.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Acquire records before using.,No hypothesis evaluation performed.
PA2025-071,Tibor Kaldor's death may suggest a broader clandestine network or cleanup operation.,Unsupported,,,,,Speculative Kaldor network/cleanup scenario unsupported.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Do not use as fact.,No hypothesis evaluation performed.
PA2025-072,"Webb's psychological profile involved trauma, isolation, and artistic temperament.",Unsupported,,,,,No Webb psychological/biographical primary evidence acquired.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Avoid profile claims.,No hypothesis evaluation performed.
PA2025-073,"Relationships involving Jessica Thomson, Robin Thomson, and others may have created leverage or blackmail opportunities.",Unsupported,,,,,Speculative leverage/blackmail claim unsupported and sensitive.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Do not publish without strong evidence.,No hypothesis evaluation performed.
PA2025-074,The case may involve both personal and operational motives.,Unsupported,,,,,Integrated motive hypothesis unsupported by primary evidence assessment.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,"Keep only in hypothesis register, not factual claim matrix.",No hypothesis evaluation performed.
PA2025-075,"The case is best understood within a matrix of paranoia, covert rivalry, and operational ambiguity.",Unsupported,,,,,Analytical summary unsupported as factual claim; requires later synthesis after verification.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Do not use in evidence-backed dossier until analysis phase.,No hypothesis evaluation performed.
