source_id,title,author,publication,date,document_type,source_level,primary_or_secondary,repository,url,date_accessed,reliability,possible_bias,copyright_status,verification_status,relevant_chapters,notes
SRC-0011,"Statement regarding Somerton Man","South Australia Police","SA Police News","2022-07-27","Police media statement","Level 1","Primary official statement","South Australia Police","https://www.police.sa.gov.au/sa-police-news-assets/front-page-news/statement-regarding-somerton-man","2026-07-07","High if retrieved from official archive; current URL not confirmed","Police institutional perspective","Crown copyright/website terms apply","Pending retrieval; search located citations/archives","identity; forensic follow-up","Important for official position on DNA identification; retrieve archived copy."
SRC-0012,"The Enduring Mystery of the Somerton Man","Mike Dash","Smithsonian Magazine","2011-08-12","Feature article","Level 3","High quality reporting","Smithsonian Magazine","https://www.smithsonianmag.com/history/the-enduring-mystery-somerton-man-one-of-australias-most-puzzling-cold-cases-50795611/","2026-07-07","Medium; reputable long-form reporting","Narrative framing; secondary synthesis","Smithsonian copyright applies","Verified page located","overview; source leads","Useful for public-facing source trail; verify all factual claims against primary sources."
SRC-0013,"The Somerton Man: An Unsolved History","Ruth Balint","Cultural Studies Review, Vol. 16 No. 2","2010","Peer-reviewed/academic journal article","Level 2","Secondary academic","Cultural Studies Review","https://doi.org/10.5130/csr.v16i2.1522","2026-07-07","Medium-high for cultural/historiographic analysis; not primary case evidence","Academic interpretive lens","Journal copyright/open access terms apply","Pending direct review","historiography; reception","Do not use for forensic facts without checking primary sources."
SRC-0014,"On Some Possible New Relations in the Somerton Man or Tamam Shud Case","Rowan Holmes","Global Histories Student Journal","2017","Academic/student journal article","Level 2","Secondary academic","Global Histories Student Journal","https://www.globalhistories.com/index.php/GHSJ/article/download/121/65/708","2026-07-07","Medium; academic venue but student journal","Interpretive microhistory; may contain speculative links","Journal copyright/open access terms apply","Verified PDF located","historiography; source leads","Use as lead generator; verify claims independently."
SRC-0015,"Australian Security Intelligence Organization establishment reference","National Archives of Australia","NAA research guide: Near Neighbours","2005; online PDF current copy","Government research guide","Level 1 context","Primary government institutional guide","National Archives of Australia","https://www.naa.gov.au/sites/default/files/2020-02/research-guide-near-neighbours.pdf","2026-07-07","High for institutional chronology","Government archival framing","NAA copyright/terms apply","Verified","historical context only","States ASIO was established on 16 March 1949 by directive."
SRC-0016,"Commonwealth Government Records about South Australia","National Archives of Australia","NAA research guide","2014; online PDF current copy","Government research guide","Level 1 context","Primary government institutional guide","National Archives of Australia","https://www.naa.gov.au/sites/default/files/2020-02/research-guide-government-records-south-australia.pdf","2026-07-07","High for NAA holdings/context","Government archival framing","NAA copyright/terms apply","Verified","historical context; locations","Useful for Woomera record series and dates; not a Somerton case source."
SRC-0017,"Royal Commission on Intelligence and Security, 1974-77","National Archives of Australia","NAA collection guide","Current web page","Government archive guide","Level 1 context","Primary government archive guide","National Archives of Australia","https://www.naa.gov.au/explore-collection/intelligence-and-security/history-australian-intelligence-and-security/royal-commission-intelligence-and-security-1974-77","2026-07-07","High for holdings/context","Not case-specific; later institutional review","NAA copyright/terms apply","Verified","historical context only","Use only for intelligence-history background and source discovery."
SRC-0018,"The Unknown Man","Gerald Michael Feltus","Self-published/book by former SAPOL detective","2010","Book","Level 2/4","Secondary memoir/research","Book publication","Unknown / obtain print copy","2026-07-07","Potentially valuable due to author role; requires careful cross-checking","Author involvement and memory limitations","Publisher/author copyright applies","Bibliographic lead only","all case registers","Recognized case researcher and former detective; acquire and catalogue edition details."
SRC-0019,"Phillips' brief / So When That Angel of the Darker Drink","John H. Phillips","Criminal Law Journal, Vol. 18","1994","Journal article/legal-medical analysis","Level 2","Secondary professional article","Criminal Law Journal","Unknown / legal database lookup required","2026-07-07","Potentially medium-high; direct text not yet reviewed","Interpretive reconstruction; not official forensic report","Journal copyright applies","Bibliographic lead only","toxicology; methods","Find exact title, pages, and full text."
SRC-0020,"Police Online Journal article: Mystery of the Somerton Man","D. Pyatt","Police Online Journal, Vol. 81 No. 4","2000-04","Police historical article","Level 2/4","Secondary institutional/history article","Police Journal / Police Historical Society lead","Unknown / library lookup required","2026-07-07","Unknown until retrieved","Police historical perspective","Copyright likely applies","Bibliographic lead only","source catalogue; evidence history","Cited in source trails; retrieve full citation and text."
SRC-0021,"Body found on Beach","Unknown staff reporter","The Advertiser (Adelaide) via Trove/NLA","1948-12-02","Contemporary newspaper report","Level 3","Contemporary reporting","National Library of Australia Trove","https://trove.nla.gov.au/","2026-07-07","Medium; contemporary but early and potentially mistaken","Early misidentification risk","Newspaper copyright/Trove conditions apply","Bibliographic lead only","chronology; discovery","Locate exact Trove article ID and page image."
SRC-0022,"Dead Man Found Lying on Somerton Beach","Unknown staff reporter","The News (Adelaide) via Trove/NLA","1948-12-01","Contemporary newspaper report","Level 3","Contemporary reporting","National Library of Australia Trove","https://trove.nla.gov.au/","2026-07-07","Medium; contemporary but early","Press reporting limitations","Newspaper copyright/Trove conditions apply","Bibliographic lead only","chronology; discovery","Locate exact Trove article ID and page image."
SRC-0023,"Tamam Shud","Unknown staff reporter","The Advertiser (Adelaide) via Trove/NLA","1949-06-10","Contemporary newspaper report","Level 3","Contemporary reporting","National Library of Australia Trove","https://trove.nla.gov.au/","2026-07-07","Medium; contemporary report","Press framing; OCR risk","Newspaper copyright/Trove conditions apply","Bibliographic lead only","Rubaiyat; cipher; evidence catalogue","Locate exact Trove article ID and page image."
SRC-0024,"Statement of source priorities and register requirements from Mission 2 prompt","Mohnish","Project instruction","2026-07-07","Project governance instruction","Internal","Project instruction","Local conversation","N/A","2026-07-07","High for project requirements; not evidence","Project planning bias","Project internal","Verified","methodology","Defines Mission 2 scope and register fields."
