physical_evidence_id,existing_evidence_id,item_class,description,photographs,measurements,condition,discovery,recovery,collector,chain_of_custody,custody_confidence,examinations,laboratory_examinations,testimony_mentions,report_mentions,current_location,current_custodian,outstanding_questions,confidence,notes
PE-0011,EV-0013,matches,"Bryant and May matches box, about one quarter full per Leane OCR.",No item photograph preserved locally.,Quantity approx. one quarter full per OCR; needs confirmation.,Physical condition unknown.,Found on body.,Body search.,John Moss; Raymond Leane.,Documented as body property; current custody unknown.,Fragmentary,Inventory only.,None documented.,"DOC-0001 pp.21,57.",Evidence register EV-0013.,Unknown.,Unknown.,Exact match count/condition; survival status.,Moderate,No fire/scorch inference beyond Moss/Cleland observations.
PE-0012,EV-0010,personal item,Two combs / metal comb reported in body property.,No item photograph preserved locally.,Not recorded.,Condition not recorded.,Found on body.,Body search.,John Moss; Raymond Leane.,Documented as body property; current custody unknown.,Fragmentary,Inventory only.,None documented.,"DOC-0001 pp.5,21,57.",Evidence register EV-0010.,Unknown.,Unknown.,Exact type/manufacturer; survival status.,Moderate,Prior US-manufactured claim not verified here.
PE-0013,EV-0011,personal item,"Juicy Fruit chewing gum packet, about half full per Leane OCR.",No item photograph preserved locally.,Quantity approx. half full per OCR; needs confirmation.,Physical condition unknown.,Found on body.,Body search.,John Moss; Raymond Leane.,Documented as body property; current custody unknown.,Fragmentary,Inventory only.,None documented.,"DOC-0001 pp.5,21,57.",Evidence register EV-0011.,Unknown.,Unknown.,Exact quantity/packaging; survival status.,Moderate,Catalogue only; no behavioural inference.
PE-0014,EV-0001,paper/document,Tamam Shud paper slip found in concealed trouser fob pocket.,Slip image lead exists; no locally preserved high-resolution exhibit photo except source leads.,Paper described by Brown as coated wood-free art paper with stated substance; exact dimensions not acquired.,Physical condition unknown; paper text present.,Found in fob pocket of trousers; not found during initial Moss search; found some time afterwards.,Found/handled by Cleland/Leane per testimony; Brown received from Leane for inquiries.,Professor Cleland; Raymond Leane; Leonard Brown.,Finding and inquiry documented; exact discovery date and current custody unknown.,Fragmentary,Paper/type comparison; bookshop/library inquiries; exhibit C.9.,No fibre/chemical lab exam documented.,"DOC-0001 pp.5,57,71,73,81.",Verification matrix PA2025-044/065; exhibit EXH-0009.,Unknown.,Unknown.,Exact discovery date/time; original survival; paper match to recovered Rubaiyat; current custodian.,High for existence; Moderate for custody.,Do not infer purpose or intent.
PE-0015,EV-0002,book/document,Rubaiyat copy/reference book associated with Tamam Shud comparison.,No locally preserved image of associated original book; code image exists separately as DOC-0012/IMG lead.,Not recorded.,Associated original book status unknown.,Brown compared slip to bookshop/library copies; coroner associated slip with a second edition Fitzgerald Rubaiyat.,Associated recovery/provenance unresolved in acquired DOC-0001 pages.,Leonard Brown; unknown finder/custody for alleged associated copy.,Reference-copy comparison documented; original associated copy custody not complete.,Fragmentary,Typographic/paper comparison and library/bookshop inquiries.,No definitive physical tear-match lab report acquired.,"DOC-0001 pp.5,71,73.",Evidence register EV-0002; exhibit EXH-0015.,Unknown.,Unknown.,"Exact recovery, owner/finder, edition, tear-match, current status.",Moderate,Do not treat all Rubaiyat/code claims as verified by this record.
PE-0016,N/A,document/code image,Rubaiyat code/markings image preserved as SM-code_full_res.jpg.,SM-code_full_res.jpg locally preserved; 1802x1440 from prior manifest context.,Image 1802x1440; original book/page dimensions not acquired.,Digital image preserved; original document status unknown.,Original code context not established from DOC-0001 testimony used in Mission 9.,Digital acquisition from Abbott archive.,Derek Abbott archive copy; original police/book custody unknown.,Digital file preserved; original chain unresolved.,Fragmentary,No Mission 9 examination beyond preservation record.,None documented here.,DOC-0012 / SM-code_full_res.jpg; source register lead.,Digital preservation manifest.,Local digital copy in evidence/primary_sources/abbott_archive.,Local repo copy; original custodian unknown.,Original document provenance; relation to associated Rubaiyat; handwriting/code analysis deferred.,Moderate for digital preservation; Low for original custody.,Mission 12 should handle cryptographic/document analysis.
PE-0017,EV-0003,luggage,Suitcase found unclaimed at Adelaide Railway Station luggage/cloak room.,Photographs of case marked C.10-C.14 referenced; image set not preserved locally.,Not recorded; case practically new per Leane.,Practically new; luggage label removed; current physical status unknown.,Located by Leane in unclaimed luggage on 1949-01-14; taken into police possession on 1949-01-19.,Police took possession from Railway Station cloakroom/luggage office.,Raymond Leane; Harold North produced ticket; A. Craig issued ticket but not heard directly here.,Ticket issue and police possession documented; later custody/destruction not established.,Fragmentary,Inventory; ticket linkage; clothing/thread comparison; photographs C.10-C.14.,"Cowan tested stencil brush residue, not suitcase as whole.","DOC-0001 pp.5,7,53,57,61,75,77,79.",Chronology CHR-0017/0018.,Unknown; reported destroyed in secondary trails but not primary-verified here.,Unknown.,Current status/destruction authority; full inventory; original photographs.,High for inquest existence; Moderate for full custody.,Do not treat suitcase ownership as proved beyond internal association evidence.
PE-0018,N/A,luggage ticket,"Railway Station luggage ticket no. 52703 for suitcase, issued 1948-11-30 between 11 a.m. and noon per North.",No item photograph preserved locally.,Ticket number 52703 per OCR; requires visual confirmation.,Physical condition unknown.,Produced by Harold North; associated with unclaimed suitcase.,Ticket held/produced by cloakroom; connected to police-recovered case.,Harold Rolfe North; A. Craig issuer absent/on holiday.,Documented ticket production; current physical status unknown.,Fragmentary,Cloakroom ticket/stamp examination.,None documented.,"DOC-0001 pp.53,57.",Exhibit EXH-0006.,Unknown.,Unknown.,Exact ticket number; retained half; depositor identity.,High,"Ticket links case to cloakroom record, not to deceased identity by itself."
PE-0019,EV-0003,suitcase contents / clothing,"Suitcase clothing/textiles: dressing gown/cord, laundry bag, singlets, underpants, ties, slippers, trousers, sports coat, coat/shirt/pajamas/scarf/towel and related textiles.",Photographs C.10-C.14 may include case contents; not preserved locally.,Garment sizes compared generally; no full measurements.,Well kept and tidy per Leane; some name tags missing/torn; some items with Keane/T. Keane.,Inside suitcase.,Recovered when Leane took possession of case.,Raymond Leane; later Brown/Cleland examined comparisons.,Suitcase inventory to inquest documented; later custody unknown.,Fragmentary,Inventory; size/brand/thread comparisons.,Microscopic thread comparison by Cleland.,"DOC-0001 pp.57,59,61,71,79.",Possession inventory POS-0010.,Unknown.,Unknown.,Full clean transcript; exact item count; current status.,Moderate,OCR distortion makes full inventory provisional.
PE-0020,N/A,suitcase contents / tools,"Suitcase tools and personal articles: scissors, knife, stencil brush, razor strop, lighter, razor, shaving brush, screwdriver, pencils, toothbrush/paste, dish, soap dish, hair pin, safety pins, collar studs, button, spoon, broken scissors, boot polish, air-mail stickers.",No item photographs preserved locally.,Counts partly recorded by OCR; exact list needs confirmation.,Condition mostly not recorded; case contents described as tidy.,Inside suitcase.,Recovered when Leane took possession of case.,Raymond Leane.,Inventory documented; current custody unknown.,Fragmentary,Inventory; Gray examined knife/stencilling relation; Cowan tested brush residue.,Cowan tested stencil brush and found black substance but not composition.,"DOC-0001 pp.57,59,61.",Possession inventory POS-0011.,Unknown.,Unknown.,Exact items/counts; whether tools had occupational relevance; current status.,Moderate,Do not infer occupation from tools without external evidence.
PE-0021,N/A,pencils / writing implements,Six pencils in suitcase; most Royal Sovereign; three H-type/drafting pencil per Leane OCR.,No item photographs preserved locally.,Six pencils per OCR.,Condition not recorded.,Inside suitcase.,Recovered from suitcase.,Raymond Leane.,Inventory documented; current custody unknown.,Fragmentary,Inventory only.,None documented.,DOC-0001 p.59.,Possession inventory POS-0011.,Unknown.,Unknown.,"Exact brands/grades; relation, if any, to code or drafting work.",Moderate,"Mission 12 should handle code/writing connection, if any."
PE-0022,N/A,fibres/thread,Orange/tan/warm sepia thread found in suitcase and used on body clothing repairs.,No macro/micro photographs preserved locally.,No measurements; Cleland says colour and fibre size corresponded microscopically.,Physical current status unknown.,Observed in suitcase and clothing repairs.,Examined during property review.,Raymond Leane; John Burton Cleland.,Observation and microscopy documented; physical thread custody unknown.,Fragmentary,Cleland microscopic comparison; Leane mending notes.,"Microscopic comparison only, no report acquired.","DOC-0001 pp.7,59,61,79.",Chronology CHR-0018.,Unknown.,Unknown.,Where samples retained; exact fibre type; lab notes/photos.,High for testimony; Moderate for physical evidence.,"Association evidence, not ownership proof alone."
PE-0023,N/A,sand,Sand at scene and sand/white beach sand particles in trouser cuffs/suitcase clothing.,No photographs preserved locally.,No measurements.,Moss saw no undue disturbance; Dwyer found sand in hair; Brown/Leane noted sand in clothing/cuffs.,Scene/body/clothing/suitcase context.,"Observed, not clearly collected.",Moss; Dwyer; Brown; Cleland.,Observation only; no sample custody documented.,Unknown,Visual/medical/property observations.,No sand lab comparison documented.,"DOC-0001 pp.17,19,37,71,81.",Medical observation MED-0008.,No preserved sample documented.,None.,Were samples collected; did sand match Somerton/Glenelg/other locations?,Moderate,Scene reconstruction should treat sand evidence as observational.
PE-0024,N/A,vegetation,Barley grass/stump/seed material found in trouser leg/sock according to Cleland.,No photographs preserved locally.,Not recorded.,Cleland discounted significance because barley grass was widespread.,Found in suitcase trouser leg and sock worn by deceased per Cleland testimony.,Observed during clothing examination.,John Burton Cleland.,Observation only; no collection/custody documented.,Unknown,Cleland observation.,No botanical lab exam documented.,"DOC-0001 pp.79,81.",None.,No preserved sample documented.,None.,Exact plant material; whether retained; environmental origin.,Low,Low weight due witness caveat and lack of custody.
PE-0025,EV-0015,fingerprints,Fingerprints/fingerprint chart of deceased.,DOC-0016 fingerprints.pdf preserved; Durham photographs/prints referenced.,Chart image size not formally measured; classification marks visible.,Digital reproduction legible but image quality moderate; original chart unknown.,Fingerprinted at City Morgue on 1948-12-03 per Durham testimony.,Durham took prints and circulated copies.,Patrick James Durham.,Print-taking/circulation documented; original chart and bureau replies incomplete.,Fragmentary,"Fingerprint circulation to Australian states, New Zealand and overseas bureaus.",Fingerprint comparison/search; no hit per Durham testimony.,"DOC-0001 pp.63,67; DOC-0016.",Forensic identifiers FID-0003/FID-0004.,Local digital reproduction; original unknown.,Local repo copy; original police/archive custodian unknown.,Original chart; complete circulation log; comparison standards/results.,High for existence; Moderate for custody.,Specialist fingerprint review remains future work.
PE-0026,EV-0016,dental chart/teeth,Teeth chart and dental observations for deceased.,DOC-0017 teeth.pdf preserved.,Chart notation visible but not specialist-transcribed; several/many missing teeth.,Digital chart legible enough for indexing; original unknown.,Prepared from postmortem/dental examination; Dwyer handed chart to Constable Sutherland.,Chart put in as exhibit C.2.,John Matthew Dwyer; Constable Sutherland.,Chart creation and exhibit marking documented; original custody unknown.,Fragmentary,Dental charting; Dwyer/Cleland observations.,No comparative dental lab record acquired.,"DOC-0001 pp.35,39,41,67; DOC-0017.",Forensic identifiers FID-0001/FID-0002.,Local digital reproduction; original unknown.,Local repo copy; original police/archive custodian unknown.,Exact notation; comparative dental search; original chart custody.,High for existence; Moderate for exact details.,Requires forensic odontologist/manual transcription.
PE-0027,EV-0007,death mask / bust,Mould/cast/bust of deceased features made by Lawson and marked exhibit C.17.,No local image of bust; image catalogue lead FIG-0004.,Bust/cast dimensions not acquired.,Lawson said formalin/embalming and postmortem change affected appearance.,Made at City Mortuary on 1949-06-07.,Produced in court; coroner ordered police custody.,Paul Francis Lawson; Raymond Leane.,Creation and inquest custody order documented; present custodian unknown.,Fragmentary,Identification/death-mask documentation.,No lab examination documented in acquired primary material.,"DOC-0001 pp.27,77.",FID-0006; EXH-0013.,Unknown in acquired primary material.,Unknown; secondary trails require verification.,"Current custodian, accession, hair sampling status, preservation history.",High for creation; Low for current custody.,Hair/DNA claims not verified in Mission 9 primary archive.
PE-0028,EV-0006,hair,Hair associated with body/death mask/remains as later potential evidence.,No local primary hair image.,Not recorded.,No primary preservation condition acquired.,Possible death-mask or exhumation context in later source trails; not established by acquired DOC-0001.,Not documented in acquired primary case file.,Unknown.,Primary custody not established.,Unknown,None in acquired primary material except hair description on body.,No acquired DNA/hair lab record.,"DOC-0001 pp.35,67 for hair appearance only.",Evidence register EV-0006.,Unknown.,Unknown official custodian.,"Official sample source, chain, lab reports, current status.",Low,"Included because user-specified and prior register exists, but primary support is weak."
PE-0029,EV-0017,biological samples,"Stomach contents, liver/muscle, urine and blood submitted for toxicology.",No photographs preserved locally.,Containers: glass jars/bottles per Cowan; volumes not recorded.,Submitted specimens analyzed in 1948; current physical availability likely unknown.,Taken from body/postmortem; received by Cowan 1948-12-02.,Cowan received from P.C. Sutherland.,P.C. Sutherland; Robert James Cowan; Dwyer retained specimens.,Creation/submission documented; lab retention/disposal not documented.,Fragmentary,Cowan toxicology; Dwyer specimen retention.,Common-poison analysis; no common poison detected.,"DOC-0001 pp.39,47,49.",Toxicology register TOX-0001.,Unknown; likely unavailable but not primary-verified.,Unknown.,Original lab report; retention/disposal; analyte methods.,High for 1948 submission; Low for present preservation.,Separate medical/toxicology layer has details.
PE-0030,EV-0003,suitcase preservation / photographs,Photographs of the suitcase/case marked exhibits C.10-C.14.,Photographs referenced; no local copies identified.,Not recorded.,Original photograph condition unknown.,Produced/marked during inquest.,Inquest exhibit process.,Unknown photographer/investigator; Townsend page references marking.,Existence as exhibit reference documented; actual photos/custody unknown.,Fragmentary,Photographic property documentation.,None documented.,DOC-0001 p.75.,EXH-0010.,Unknown.,Unknown.,Locate photographs C.10-C.14; rights/custody; image quality.,Moderate,Priority acquisition target.
PE-0031,EV-0005,body photographs,"Full-face and side-face photographs of body, exhibits C.5-C.8.",Photos referenced; some reproductions may exist but not fully catalogued here.,Not recorded.,Original photograph condition unknown.,Taken at City Morgue on 1948-12-03.,Durham photographed body and produced photographs.,Patrick James Durham.,Photo creation/circulation documented; original custody unknown.,Fragmentary,Identification circulation; exhibit production.,Photographic identification only.,DOC-0001 p.63.,EXH-0007; FID-0005.,Unknown.,Unknown.,Locate full set C.5-C.8; current rights/custody.,High for creation; Moderate for custody.,Do not use public images until rights/custody cleared.
PE-0032,N/A,scene environment,Weather/environmental conditions around 30 November 1948 and scene openness/publicness.,No scene photographs preserved locally.,Temperatures and visibility recorded by Leane; exact distances from body to steps/wall partly witness-estimated.,Warm/hazy conditions; scene public/open; sand disturbance not undue per Moss.,Observed/reported in witness and police testimony.,Not a recoverable object.,Moss; beach witnesses; Leane.,Not applicable.,N/A,Witness observations and weather record testimony.,None.,"DOC-0001 pp.15,17,19,21,51,67.",Chronology/scene reconstruction.,Not applicable.,Not applicable.,Need official weather record and scene diagrams/photos.,Moderate,"Environmental context, not physical exhibit."
PE-0033,N/A,money/cash,2s 6d in cash reportedly found in trousers pocket per Leane OCR.,No photograph preserved locally.,2s 6d per OCR; requires visual confirmation.,Physical status unknown.,"Trousers pocket, likely body clothing inventory.",Inventory/recovery context unclear due OCR.,Raymond Leane.,Mention documented in OCR; current custody unknown.,Unknown,Inventory only.,None.,DOC-0001 p.59.,Victimology note.,Unknown.,Unknown.,Confirm exact amount and whether body or suitcase trousers.,Low,Needs manual page confirmation before narrative use.
PE-0034,N/A,stencil materials,"Stencil brush, cut-down knife, tinned zinc/folders used or possibly used for stencilling.",No photographs preserved locally.,Not recorded.,Brush had black substance; exact composition unknown.,Inside suitcase.,Recovered from suitcase.,Raymond Leane; examined by Mr Gray and Cowan.,Inventory and limited examination documented; custody unknown.,Fragmentary,Gray examined knife/zinc relation; Cowan tested brush use/residue.,Cowan found brush had been used but substance unidentified.,"DOC-0001 pp.59,61.",Possession inventory POS-0011.,Unknown.,Unknown.,Full item list; residue report; occupational relevance.,Moderate,Do not infer trade without employment records.
