custody_id,physical_evidence_id,item,creation_or_discovery,first_collector_or_observer,documented_handoffs,current_location,custody_status,confidence,custody_gaps,recommended_action
PECOC-0013,PE-0013,"Juicy Fruit chewing gum packet, about half full per Leane OCR.",Found on body.,John Moss; Raymond Leane.,Documented as body property; current custody unknown.,Unknown.,Fragmentary,Moderate,Exact quantity/packaging; survival status.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0014,PE-0014,Tamam Shud paper slip found in concealed trouser fob pocket.,Found in fob pocket of trousers; not found during initial Moss search; found some time afterwards.,Professor Cleland; Raymond Leane; Leonard Brown.,Finding and inquiry documented; exact discovery date and current custody unknown.,Unknown.,Fragmentary,High for existence; Moderate for custody.,Exact discovery date/time; original survival; paper match to recovered Rubaiyat; current custodian.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0015,PE-0015,Rubaiyat copy/reference book associated with Tamam Shud comparison.,Brown compared slip to bookshop/library copies; coroner associated slip with a second edition Fitzgerald Rubaiyat.,Leonard Brown; unknown finder/custody for alleged associated copy.,Reference-copy comparison documented; original associated copy custody not complete.,Unknown.,Fragmentary,Moderate,"Exact recovery, owner/finder, edition, tear-match, current status.",Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0016,PE-0016,Rubaiyat code/markings image preserved as SM-code_full_res.jpg.,Original code context not established from DOC-0001 testimony used in Mission 9.,Derek Abbott archive copy; original police/book custody unknown.,Digital file preserved; original chain unresolved.,Local digital copy in evidence/primary_sources/abbott_archive.,Fragmentary,Moderate for digital preservation; Low for original custody.,Original document provenance; relation to associated Rubaiyat; handwriting/code analysis deferred.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0017,PE-0017,Suitcase found unclaimed at Adelaide Railway Station luggage/cloak room.,Located by Leane in unclaimed luggage on 1949-01-14; taken into police possession on 1949-01-19.,Raymond Leane; Harold North produced ticket; A. Craig issued ticket but not heard directly here.,Ticket issue and police possession documented; later custody/destruction not established.,Unknown; reported destroyed in secondary trails but not primary-verified here.,Fragmentary,High for inquest existence; Moderate for full custody.,Current status/destruction authority; full inventory; original photographs.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0018,PE-0018,"Railway Station luggage ticket no. 52703 for suitcase, issued 1948-11-30 between 11 a.m. and noon per North.",Produced by Harold North; associated with unclaimed suitcase.,Harold Rolfe North; A. Craig issuer absent/on holiday.,Documented ticket production; current physical status unknown.,Unknown.,Fragmentary,High,Exact ticket number; retained half; depositor identity.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0019,PE-0019,"Suitcase clothing/textiles: dressing gown/cord, laundry bag, singlets, underpants, ties, slippers, trousers, sports coat",Inside suitcase.,Raymond Leane; later Brown/Cleland examined comparisons.,Suitcase inventory to inquest documented; later custody unknown.,Unknown.,Fragmentary,Moderate,Full clean transcript; exact item count; current status.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0020,PE-0020,"Suitcase tools and personal articles: scissors, knife, stencil brush, razor strop, lighter, razor, shaving brush, screwd",Inside suitcase.,Raymond Leane.,Inventory documented; current custody unknown.,Unknown.,Fragmentary,Moderate,Exact items/counts; whether tools had occupational relevance; current status.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0021,PE-0021,Six pencils in suitcase; most Royal Sovereign; three H-type/drafting pencil per Leane OCR.,Inside suitcase.,Raymond Leane.,Inventory documented; current custody unknown.,Unknown.,Fragmentary,Moderate,"Exact brands/grades; relation, if any, to code or drafting work.",Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0022,PE-0022,Orange/tan/warm sepia thread found in suitcase and used on body clothing repairs.,Observed in suitcase and clothing repairs.,Raymond Leane; John Burton Cleland.,Observation and microscopy documented; physical thread custody unknown.,Unknown.,Fragmentary,High for testimony; Moderate for physical evidence.,Where samples retained; exact fibre type; lab notes/photos.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0023,PE-0023,Sand at scene and sand/white beach sand particles in trouser cuffs/suitcase clothing.,Scene/body/clothing/suitcase context.,Moss; Dwyer; Brown; Cleland.,Observation only; no sample custody documented.,No preserved sample documented.,Unknown,Moderate,Were samples collected; did sand match Somerton/Glenelg/other locations?,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0024,PE-0024,Barley grass/stump/seed material found in trouser leg/sock according to Cleland.,Found in suitcase trouser leg and sock worn by deceased per Cleland testimony.,John Burton Cleland.,Observation only; no collection/custody documented.,No preserved sample documented.,Unknown,Low,Exact plant material; whether retained; environmental origin.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0025,PE-0025,Fingerprints/fingerprint chart of deceased.,Fingerprinted at City Morgue on 1948-12-03 per Durham testimony.,Patrick James Durham.,Print-taking/circulation documented; original chart and bureau replies incomplete.,Local digital reproduction; original unknown.,Fragmentary,High for existence; Moderate for custody.,Original chart; complete circulation log; comparison standards/results.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0026,PE-0026,Teeth chart and dental observations for deceased.,Prepared from postmortem/dental examination; Dwyer handed chart to Constable Sutherland.,John Matthew Dwyer; Constable Sutherland.,Chart creation and exhibit marking documented; original custody unknown.,Local digital reproduction; original unknown.,Fragmentary,High for existence; Moderate for exact details.,Exact notation; comparative dental search; original chart custody.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0027,PE-0027,Mould/cast/bust of deceased features made by Lawson and marked exhibit C.17.,Made at City Mortuary on 1949-06-07.,Paul Francis Lawson; Raymond Leane.,Creation and inquest custody order documented; present custodian unknown.,Unknown in acquired primary material.,Fragmentary,High for creation; Low for current custody.,"Current custodian, accession, hair sampling status, preservation history.",Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0028,PE-0028,Hair associated with body/death mask/remains as later potential evidence.,Possible death-mask or exhumation context in later source trails; not established by acquired DOC-0001.,Unknown.,Primary custody not established.,Unknown.,Unknown,Low,"Official sample source, chain, lab reports, current status.",Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0029,PE-0029,"Stomach contents, liver/muscle, urine and blood submitted for toxicology.",Taken from body/postmortem; received by Cowan 1948-12-02.,P.C. Sutherland; Robert James Cowan; Dwyer retained specimens.,Creation/submission documented; lab retention/disposal not documented.,Unknown; likely unavailable but not primary-verified.,Fragmentary,High for 1948 submission; Low for present preservation.,Original lab report; retention/disposal; analyte methods.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0030,PE-0030,Photographs of the suitcase/case marked exhibits C.10-C.14.,Produced/marked during inquest.,Unknown photographer/investigator; Townsend page references marking.,Existence as exhibit reference documented; actual photos/custody unknown.,Unknown.,Fragmentary,Moderate,Locate photographs C.10-C.14; rights/custody; image quality.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0031,PE-0031,"Full-face and side-face photographs of body, exhibits C.5-C.8.",Taken at City Morgue on 1948-12-03.,Patrick James Durham.,Photo creation/circulation documented; original custody unknown.,Unknown.,Fragmentary,High for creation; Moderate for custody.,Locate full set C.5-C.8; current rights/custody.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0032,PE-0032,Weather/environmental conditions around 30 November 1948 and scene openness/publicness.,Observed/reported in witness and police testimony.,Moss; beach witnesses; Leane.,Not applicable.,Not applicable.,N/A,Moderate,Need official weather record and scene diagrams/photos.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0033,PE-0033,2s 6d in cash reportedly found in trousers pocket per Leane OCR.,"Trousers pocket, likely body clothing inventory.",Raymond Leane.,Mention documented in OCR; current custody unknown.,Unknown.,Unknown,Low,Confirm exact amount and whether body or suitcase trousers.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0034,PE-0034,"Stencil brush, cut-down knife, tinned zinc/folders used or possibly used for stencilling.",Inside suitcase.,Raymond Leane; examined by Mr Gray and Cowan.,Inventory and limited examination documented; custody unknown.,Unknown.,Fragmentary,Moderate,Full item list; residue report; occupational relevance.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
