fact_id,paragraph_id,statement,supporting_sources,source_type,confidence,notes
EFC06-011,CH06-P025,"Thread correspondence is association evidence, not ownership proof by itself, and physical retention status remains unknown.","research/physical_evidence/physical_evidence_catalogue.csv; research/physical_evidence/physical_evidence_uncertainties.csv","Catalogue/uncertainty register","High testimony; Moderate physical evidence","PE-0022; PEU-0005."
EFC06-012,CH06-P026,"Tamam Shud slip existed and was associated with a concealed/difficult trouser fob pocket after initial search.","research/physical_evidence/physical_evidence_catalogue.csv; research/indexes/exhibit_index.csv; research/chronology/chronology_master.csv","Catalogue/exhibit/chronology","High existence; Moderate custody","PE-0014; EXH-0009."
EFC06-013,CH06-P027,"Exact discovery date/time and finder sequence for the Tamam Shud slip remain unresolved.","research/physical_evidence/physical_evidence_uncertainties.csv","Uncertainty register","Critical","PEU-0001."
EFC06-014,CH06-P029,"Rubaiyat material is documented as comparison and association material, not as settled ownership exhibit.","research/physical_evidence/physical_evidence_catalogue.csv; research/indexes/exhibit_index.csv; research/physical_evidence/physical_evidence_uncertainties.csv","Catalogue/exhibit/uncertainty","Moderate","PE-0015; PEU-0010."
EFC06-015,CH06-P031,"Rubaiyat code image exists locally as digital reproduction, but original custody remains unresolved and code analysis is deferred.","research/physical_evidence/physical_evidence_catalogue.csv; research/physical_evidence/preservation_history.csv","Catalogue/preservation register","Moderate digital; Low original custody","PE-0016; PRH-0001."
EFC06-016,CH06-P032,"Fingerprints were created/circulated and a digital chart reproduction is preserved, but original chart and bureau responses are incomplete.","research/physical_evidence/physical_evidence_catalogue.csv; research/forensic_medical/forensic_identifiers_register.csv; research/physical_evidence/preservation_history.csv","Catalogue/forensic identifier/preservation","High existence; Moderate custody","PE-0025."
EFC06-017,CH06-P033,"Dental chart exists as local reproduction, but precise dental notation requires specialist/manual transcription.","research/physical_evidence/physical_evidence_catalogue.csv; research/forensic_medical/forensic_identifiers_register.csv","Catalogue/forensic identifier","High existence; Moderate details","PE-0026."
EFC06-018,CH06-P034,"Death mask/bust creation is documented, but current custody is unresolved and appearance inference is limited by postmortem change.","research/physical_evidence/physical_evidence_catalogue.csv; research/forensic_medical/forensic_identifiers_register.csv","Catalogue/forensic identifier","High creation; Low current custody","PE-0027."
EFC06-019,CH06-P035,"Hair as preserved later evidence has weak primary support in acquired 1949 material and requires official sample-source/custody/lab records.","research/physical_evidence/physical_evidence_catalogue.csv; research/database/evidence_register.csv","Catalogue/evidence register","Low","PE-0028; EV-0006."
EFC06-020,CH06-P036,"Biological specimens were submitted to Cowan in 1948, but retention/disposal record is not acquired.","research/physical_evidence/physical_evidence_catalogue.csv; research/forensic_medical/toxicology_register.csv; research/physical_evidence/preservation_history.csv","Catalogue/toxicology/preservation","High 1948 submission; Low present preservation","PE-0029."
EFC06-021,CH06-P041,"Preservation register records three local digital copies, two reference-only photo records, and multiple unknown/unverified current statuses.","research/physical_evidence/preservation_history.csv","Preservation register","High","PRH-0001 to PRH-0010."
EFC06-022,CH06-P044,"Strongest records are those mapped to testimony, inquest pages, exhibit references, or preserved reproductions.","research/physical_evidence/physical_evidence_summary.md; research/physical_evidence/physical_evidence_source_map.csv","Project synthesis/source map","High","No hypothesis evaluation."
EFC06-023,CH06-P045,"Weakest records include cash, vegetation, hair as later physical evidence, sand as retained sample, death mask status, associated Rubaiyat, and OCR-dependent suitcase details.","research/physical_evidence/physical_evidence_summary.md; research/physical_evidence/physical_evidence_catalogue.csv","Project synthesis/catalogue","High","Evidence limitations only."
EFC06-024,CH06-P046,"Principal missing evidence consists of custody/preservation records for photographs, clothing, property, suitcase, Rubaiyat provenance, slip discovery, thread/labels, biological specimens, and custodians.","research/physical_evidence/physical_evidence_summary.md; research/physical_evidence/physical_evidence_uncertainties.csv; research/physical_evidence/preservation_history.csv","Project synthesis/uncertainty register","High","Acquisition targets."
