fact_id,paragraph_id,statement,supporting_sources,source_type,confidence,notes
HFC04-012,CH04-P018,"Forensic medicine could document observations while leaving material uncertainty.","research/forensic_medical/forensic_medical_summary.md; research/intelligence/evidence_weight_matrix.csv","Project forensic-medical and evidence-weight assets","High","Medical uncertainty preserved."
HFC04-013,CH04-P019,"Mid-century toxicology was targeted rather than all-substances screening.","/Users/mohnish/Downloads/deep-research-report.md; research/intelligence/capability_assessment.csv","Mission 10 contextual synthesis; project-native capability assessment","High","Used only to separate not detected from not present."
HFC04-014,CH04-P020,"DNA and genetic genealogy were unavailable to the original 1948 investigation and modern identity work requires official/lab-documentation controls.","research/osint/mission_11_summary.md; research/publication/identity_status_guidance.md; research/intelligence/capability_assessment.csv","OSINT summary; identity guidance; capability assessment","High","No identity finding introduced."
HFC04-015,CH04-P022,"Late-1940s communication and identity systems were fragmented and not unified into a digital searchable system.","research/intelligence/capability_assessment.csv; /Users/mohnish/Downloads/deep-research-report.md","Project-native capability assessment; Mission 10 contextual synthesis","High","Contextual administrative fact."
HFC04-016,CH04-P026,"ASIO was established by directive on 16 March 1949.","research/database/source_register.csv; /Users/mohnish/Downloads/deep-research-report.md","NAA source-register record; Mission 10 contextual synthesis","High","Recorded in SRC-0015 notes."
HFC04-017,CH04-P026,"The Somerton death predates formal ASIO.","research/chronology/chronology_summary.md; research/database/source_register.csv","Project chronology; NAA source-register record","High","No inference of intelligence involvement."
HFC04-018,CH04-P027,"British/allied intelligence cooperation, Venona context, weapons research, and security concern are contextual and do not show case intelligence involvement.","research/intelligence/context_assessment.md; research/intelligence/evidence_weight_matrix.csv; research/intelligence/intelligence_confidence_register.csv","Project-native intelligence assets","High","Boundary statement."
HFC04-019,CH04-P028,"Woomera and the Anglo-Australian weapons project are real post-war context, but no acquired record links the unknown man or death to Woomera work.","research/database/source_register.csv; /Users/mohnish/Downloads/deep-research-report.md; research/intelligence/intelligence_requirements.csv","NAA/context source register; Mission 10 contextual synthesis; intelligence requirements","High for context; Very Low for case linkage","No direct linkage found in acquired corpus."
HFC04-020,CH04-P030,"No acquired file connects Venona material to this case.","research/intelligence/context_assessment.md; research/intelligence/intelligence_confidence_register.csv; research/intelligence/intelligence_requirements.csv","Project-native intelligence assets","High","Negative finding limited to acquired corpus."
HFC04-021,CH04-P032,"Clothing labels can be absent or removed for ordinary or deliberate reasons; actor, timing and motive remain unknown.","research/intelligence/capability_assessment.csv; research/intelligence/key_assumptions.csv; research/physical_evidence/physical_evidence_summary.md","Project-native capability and physical-evidence assets","Moderate-High","Examples are contextual; no motive assigned."
HFC04-022,CH04-P033,"Travel with limited durable records was less unusual in paper-based systems than it would be today.","research/intelligence/capability_assessment.csv; /Users/mohnish/Downloads/deep-research-report.md","Project-native capability assessment; Mission 10 contextual synthesis","Moderate","Rail/hotel operating manuals remain a future source need."
HFC04-023,CH04-P034,"The Rubaiyat/Tamam Shud material is an evidence cluster whose meaning remains unresolved.","research/database/evidence_register.csv; research/physical_evidence/physical_evidence_summary.md; research/intelligence/evidence_weight_matrix.csv","Project evidence register; physical-evidence and evidence-weight assets","High","No code interpretation."
HFC04-024,CH04-P036,"Contextual capabilities include thin identity records, clothing label removal, difficult-to-detect poison, book/code media, scene staging/body movement, and intelligence activity; none is proof of case use.","research/intelligence/capability_assessment.csv; research/intelligence/evidence_weight_matrix.csv","Project-native capability and evidence-weight assets","High","Summary matrix."
HFC04-025,CH04-P037,"The context layer explains why interpretation can outrun evidence, but it does not decide the case.","research/intelligence/context_assessment.md; research/intelligence/evidence_weight_matrix.csv; documentation/authoring/editorial_style_guide.md","Project-native context and authoring assets","High","Closing contextual control."
