paragraph_id,chapter_section,lines,claim_summary,supporting_repository_assets,verification_status,confidence,notes
CH07-P016,Medical Witnesses,58,"Dwyer described postmortem, external observations, congestion, stomach contents, and medical opinion; OCR medical terminology requires verification.","research/indexes/witness_index.csv; research/forensic_medical/medical_observation_register.csv","Verified with OCR limitation","High","WIT-0007."
CH07-P017,Medical Witnesses,60,"Cowan received specimens and tested for common poisons without detection; scope is submitted specimens/common poisons, not all toxic agents.","research/indexes/witness_index.csv; research/forensic_medical/toxicology_register.csv; research/chronology/chronology_master.csv","Verified with scope limitation","High","WIT-0008."
CH07-P018,Medical Witnesses,62,"Cleland mixed direct observation/comparison with opinion and requires transcription control.","research/indexes/witness_index.csv; research/forensic_medical/medical_observation_register.csv","Supported with limitation","Moderate","WIT-0016."
CH07-P019,Medical Witnesses,64,"Hicks is expert review testimony on poison groups and timing difficulties, not direct observation or poison identification.","research/indexes/witness_index.csv; research/forensic_medical/toxicology_register.csv","Supported with limitation","Low","WIT-0017."
CH07-P020,Medical Witnesses,66,"Bennett examined body about 9:40 a.m. on 1 Dec and estimated death could have occurred up to eight hours earlier; not observed death time.","research/indexes/witness_index.csv; research/chronology/chronology_master.csv; research/forensic_medical/time_of_death_register.csv","Verified with estimate limitation","Moderate","WIT-0018."
CH07-P021,Civilian Witnesses,70,"Hall identified bus-ticket route/issue context without identifying holder or boarding/alighting points.","research/indexes/witness_index.csv; research/chronology/chronology_master.csv","Verified with limitation","High","WIT-0003."
CH07-P022,Civilian Witnesses,72,"Holdernesse had no independent recollection and supports record-based transport link only.","research/indexes/witness_index.csv","Verified with memory limitation","Low","WIT-0004."
CH07-P023,Civilian Witnesses,74,"North produced luggage-ticket/suitcase evidence but did not issue ticket; actual issuer absent.","research/indexes/witness_index.csv; research/chronology/chronology_master.csv","Verified with limitation","Moderate","WIT-0010."
CH07-P024,Civilian Witnesses,76,"West gave railway timetable evidence but not proof deceased travelled by train.","research/indexes/witness_index.csv; research/chronology/chronology_master.csv","Verified with limitation","Moderate","WIT-0013."
CH07-P025,Civilian Witnesses,78,"Townsend gave Henley Beach ticket issue window but no purchaser memory or exact issue time.","research/indexes/witness_index.csv; research/chronology/chronology_master.csv","Verified with limitation","High","WIT-0015."
CH07-P026,Civilian Witnesses,80,"Lawson directly supports cast/bust creation; assumption-based body/feet observations must be separated from description.","research/indexes/witness_index.csv; research/forensic_medical/forensic_identifiers_register.csv","Verified with limitation","Moderate","WIT-0005."
CH07-P027,Later Witnesses,84,"Authorized witness index contains original inquest witnesses only; later contributors are outside witness evidence for this chapter.","research/indexes/witness_index.csv; research/osint/mission_11_osint_expansion.md","Source boundary","High","Modern contributors excluded."
CH07-P028,Later Witnesses,86,"Modern identity/DNA/exhumation/genealogy statements are excluded from witness matrix unless in authorized witness/source-mapped registers.","research/publication/identity_status_guidance.md; research/indexes/witness_index.csv","Source boundary","High","Protects original testimony layer."
CH07-P029,Witness Reliability Assessment,90,"Reliability criteria include opportunity, temporal proximity, consistency, corroboration, bias, memory, OCR/transcription quality, and evidentiary value.","manuscript/chapter_reviews/chapter07_reliability_matrix.csv; documentation/authoring/manuscript_authoring_guide.md","Methodological criteria","High","Major case review style."
CH07-P030,Witness Reliability Assessment,92,"Strong class includes Moss, Hall, Dwyer, Cowan, Durham, and Townsend for core observations/records with limits.","manuscript/chapter_reviews/chapter07_reliability_matrix.csv","Derived assessment","High","6 strong."
CH07-P031,Witness Reliability Assessment,94,"Moderate class includes WIT-0001, Lawson, Strapps, Neill, North, Leane, West, Brown, Cleland, and Bennett.","manuscript/chapter_reviews/chapter07_reliability_matrix.csv","Derived assessment","Moderate","10 moderate."
CH07-P032,Witness Reliability Assessment,96,"Weak/limited class includes Holdernesse for passenger identification and Hicks for event reconstruction scope.","manuscript/chapter_reviews/chapter07_reliability_matrix.csv","Derived assessment","Low","2 weak/limited."
CH07-P033,Witness Reliability Assessment,98,"No character judgment is assigned; impressions are not upgraded into fact; witness statements do not resolve hypotheses.","documentation/authoring/editorial_style_guide.md; manuscript/chapter_reviews/chapter07_reliability_matrix.csv","Methodological boundary","High","No credibility moralizing."
CH07-P034,Confidence Summary Table,100-115,"Table summarizes reliability class counts: 6 strong, 10 moderate, 2 weak/limited, 0 contradicted as false, 0 unknown.","manuscript/chapter_reviews/chapter07_reliability_matrix.csv","Derived from reliability matrix","High","Required confidence summary."
CH07-P035,Witness Matrix Intro,119,"Witness index table is a control table, not a credibility scorecard.","research/indexes/witness_index.csv; documentation/authoring/editorial_style_guide.md","Methodological boundary","High","No unsupported judgments."
CH07-P036,Complete Witness Index Table,121-155,"Complete witness index table lists WIT-0001 through WIT-0018 with role, page references, value, and limits.","research/indexes/witness_index.csv","Verified from witness index","High","Required complete witness index."
CH07-P037,Witness Chronology Table,157-190,"Witness chronology maps each witness to period, related events, and principal limitation.","research/indexes/witness_index.csv; research/chronology/chronology_master.csv","Verified from witness/event links","High","Required witness chronology."
CH07-P038,Witness-to-Event Map Table,192-225,"Witness-to-event map links witnesses to chronology IDs and evidence IDs with use limitations.","research/indexes/cross_reference_map.csv; research/indexes/witness_index.csv","Verified from cross-reference map","High","Required witness-to-event map."
CH07-P039,Testimonial Limitations,229,"Principal limitations include time delay, OCR distortion, incomplete transcription, missing/restricted records, and observation/inference distinction; 55 pages are in transcription queue.","research/indexes/mission_6_summary.md; research/indexes/transcription_queue.csv","Verified from Mission 6 summary","High","Transcription queue count."
CH07-P040,Testimonial Limitations,231,"Memory limits are explicit for Holdernesse, Townsend, North, and evening beach witnesses.","research/indexes/witness_index.csv","Verified from witness index","High","Memory/observation constraints."
CH07-P041,Testimonial Limitations,233,"Medical/scientific witness testimony must preserve scope limits: Cowan common-poison testing, Hicks possibilities, Bennett estimate, Cleland mixed observation/opinion.","research/indexes/witness_index.csv; research/forensic_medical/forensic_medical_summary.md","Supported synthesis","High","No medical conclusion."
CH07-P042,Testimonial Limitations,235,"Witness layer supports structured testimonial record, not completed explanation.","research/indexes/witness_index.csv; documentation/authoring/manuscript_authoring_guide.md","Methodological conclusion","High","No hypothesis."
