paragraph_id,chapter_section,lines,claim_summary,supporting_repository_assets,verification_status,confidence,notes
CH01-P011,Principal Uncertainties,53,"Cause and mechanism of death remain unresolved; common poison was not detected, but absence of all poison and place of death are not established.","research/forensic_medical/forensic_medical_summary.md; research/verification/analytical_confidence_register.csv; research/intelligence/intelligence_confidence_register.csv","Supported by forensic-medical registers","Moderate","Preserves not detected vs not present distinction."
CH01-P012,Principal Uncertainties,55,"Final movements remain incomplete, including rail-ticket purchaser, sighting identity continuity, exact time of death, and place of death.","research/chronology/chronology_summary.md; research/victimology/victimology_summary.md","Supported by chronology/victimology gaps","Moderate","No invented times or movement sequence."
CH01-P013,Principal Uncertainties,57,"Rubaiyat, Tamam Shud slip, and writing material are central evidence but unresolved in meaning and do not prove suicide, homicide, espionage, or a solved cipher.","research/osint/executive_summary.md; research/physical_evidence/physical_evidence_summary.md; research/intelligence/intelligence_confidence_register.csv","Supported by physical evidence and intelligence registers","Low-Moderate for interpretation","Avoids hypothesis advocacy."
CH01-P014,Major Intelligence Gaps,61,"Official identity status requires coroner, SAPOL, or Forensic Science SA documentation before Webb can be written as official identification.","research/intelligence/intelligence_requirements.csv; research/osint/intelligence_gaps_mission11.csv; research/publication/identity_status_guidance.md","Open intelligence requirement","Critical priority","Matches IR-001."
CH01-P015,Major Intelligence Gaps,63,"Forensic-medical completeness remains a critical gap because full lab detail, retained-sample status, and modern review are missing.","research/forensic_medical/forensic_medical_summary.md; research/intelligence/intelligence_requirements.csv","Open intelligence requirement","Critical priority","Matches IR-002."
CH01-P016,Major Intelligence Gaps,65,"Physical-evidence custody remains unresolved for key objects and samples.","research/physical_evidence/physical_evidence_summary.md; research/physical_evidence/physical_evidence_uncertainties.csv; research/intelligence/intelligence_requirements.csv","Open intelligence requirement","High priority","Summarizes Mission 9 custody gaps."
CH01-P017,Major Intelligence Gaps,67,"No acquired source establishes administered poison, suicide note, assailant, intelligence-service connection, solved code, or complete last-movement reconstruction.","research/verification/verification_summary.md; research/forensic_medical/forensic_medical_summary.md; research/intelligence/intelligence_confidence_register.csv; research/intelligence/intelligence_requirements.csv","Negative claim limited to acquired source base","Moderate","Uses controlled negative wording."
CH01-P018,Overall Assessment,71,"The case is partly resolved at evidence level and unresolved at explanatory level.","research/intelligence/intelligence_confidence_register.csv; research/verification/verification_summary.md; research/physical_evidence/physical_evidence_summary.md","Analytical assessment","Moderate","Integrative statement preserves limits."
CH01-P019,Overall Assessment,73,"Webb attribution does not close the case; cause remains undetermined; explanatory models remain hypotheses or models rather than conclusions.","research/publication/identity_status_guidance.md; research/forensic_medical/forensic_medical_summary.md; research/intelligence/analysis_of_competing_hypotheses.csv; research/intelligence/intelligence_confidence_register.csv","Analytical assessment","Moderate","No hypothesis is advocated."
CH01-P020,Overall Assessment,75,"The dossier's contribution is controlled evidence architecture rather than a new theory.","research/manuscript_blueprint/manuscript_blueprint.md; research/publication/repository_freeze_report.md; documentation/authoring/manuscript_authoring_guide.md","Methodological assessment","High","Consistent with repository architecture."
CH01-P021,Confidence Statement,79,"Chapter confidence is Moderate overall, with high confidence in selected core facts and very low confidence for direct intelligence involvement.","research/intelligence/intelligence_confidence_register.csv; research/verification/verification_summary.md; research/chronology/chronology_summary.md; research/forensic_medical/forensic_medical_summary.md; research/physical_evidence/physical_evidence_summary.md","Supported confidence synthesis","Moderate","Confidence reflects evidence quality, not theory probability."
