paragraph_id,chapter_section,lines,claim_summary,supporting_repository_assets,verification_status,confidence,notes
CH05-P018,Initial Police Investigation,60,"The chronology does not admit a solved identification event for 1948 or 1949.","research/chronology/chronology_master.csv; research/victimology/victimology_summary.md; research/publication/identity_status_guidance.md","Supported by identity-status guidance","High","Prevents premature identity closure."
CH05-P019,Post-Mortem Investigation,64,"On 2 December 1948 Cowan received stomach contents, liver and muscle, urine, and blood from the unidentified man.","research/chronology/chronology_master.csv; research/chronology/event_source_map.csv; research/forensic_medical/medical_observation_register.csv","Verified","High","Maps to CHR-0013."
CH05-P020,Post-Mortem Investigation,66,"Cowan was unable to find signs of common poison in submitted specimens; this is not evidence that all poisons were absent.","research/chronology/chronology_master.csv; research/forensic_medical/toxicology_register.csv; research/forensic_medical/forensic_medical_summary.md","Partially verified","High","Maps to CHR-0014."
CH05-P021,Post-Mortem Investigation,68,"The post-mortem chronology establishes specimen receipt and negative common-poison testing only, not exact cause of death or absence of all toxic agents.","research/forensic_medical/forensic_medical_summary.md; research/forensic_medical/medical_uncertainties.csv","Supported limitation","High","Medical interpretation controlled by Mission 8."
CH05-P022,Expansion of the Investigation,72,"The Tamam Shud slip was found later in a difficult-to-locate trouser fob pocket; exact date, time, and finder identity remain unresolved.","research/chronology/chronology_master.csv; research/chronology/chronology_uncertainties.csv; research/physical_evidence/physical_evidence_catalogue.csv","Verified with unresolved details","High","Maps to CHR-0015."
CH05-P023,Expansion of the Investigation,74,"The Tamam Shud paper was associated by the coroner with a second edition Fitzgerald Rubaiyat; book recovery chronology and provenance remain unresolved.","research/chronology/chronology_master.csv; research/chronology/chronology_uncertainties.csv; research/physical_evidence/physical_evidence_catalogue.csv","Partially verified","High","Maps to CHR-0016."
CH05-P024,Expansion of the Investigation,76,"An unclaimed suitcase was found at Adelaide Railway Station luggage office a little over a month after 1 December 1948; exact date and custody remain gaps.","research/chronology/chronology_master.csv; research/physical_evidence/chain_of_custody_confidence_matrix.csv","Partially verified","High","Maps to CHR-0017."
CH05-P025,Expansion of the Investigation,78,"The suitcase was assessed as internally connected by clothing size, removed tags, and thread similarity, but ownership and complete custody are not established.","research/chronology/chronology_master.csv; research/physical_evidence/physical_evidence_catalogue.csv; research/physical_evidence/chain_of_custody_confidence_matrix.csv","Partially verified","High","Maps to CHR-0018."
CH05-P026,Expansion of the Investigation,80,"Public appeals and interstate inquiries are described only where source-mapped event records exist.","research/chronology/event_source_map.csv; research/chronology/chronology_master.csv","Methodological boundary","High","No unsupported investigative sequence added."
CH05-P027,Investigative Milestones Table,82-100,"The major investigative milestones table summarizes selected CHR events from discovery through inquest opening.","research/chronology/chronology_master.csv; research/chronology/chronology_summary.md","Verified from chronology register","High","Table is not exhaustive."
CH05-P028,Inquest Timeline,104,"The 1949 inquest period begins on 17 June 1949 and DOC-0001 contains proceedings and remarks concerning the Somerton death.","research/chronology/chronology_master.csv; research/primary_sources/primary_document_inventory.csv; research/chronology/event_source_map.csv","Verified","High","Maps to CHR-0019."
CH05-P029,Inquest Timeline,106,"The inquest was adjourned sine die after recording the deceased as unknown, death as not natural, and precise circumstances and cause as not stated with certainty.","research/chronology/chronology_master.csv; research/chronology/event_source_map.csv; research/indexes/document_page_index.csv","Verified","High","Maps to CHR-0020."
CH05-P030,Inquest Timeline,108,"The 1949 inquest witness set includes medical, police, transport, railway, beach, forensic, and exhibit witnesses, but reliability assessment is reserved for the testimony chapter.","research/indexes/witness_index.csv; research/indexes/document_page_index.csv","Indexed primary-source testimony","High","No witness credibility conclusions."
CH05-P031,Later Developments,112,"GRG 1/27 File 53/1958 is identified as a later coronial file dated 14 March 1958, but content review and original-custodian access remain limited.","research/chronology/chronology_master.csv; research/primary_sources/restricted_unavailable_records.csv","Partially verified","Moderate","Maps to CHR-0021."
CH05-P032,Later Developments,114,"Archival handling and a 14 May 2014 certified death-certificate copy are documentation-preservation events, not original death events.","research/chronology/chronology_master.csv; research/chronology/event_source_map.csv","Partially verified","Moderate-High","Maps to CHR-0022 and CHR-0024."
CH05-P033,Later Developments,116,"The 2021 exhumation is retained only as an unable-to-verify placeholder because the official primary release was not acquired and reviewed for Mission 4.","research/chronology/chronology_master.csv; research/chronology/chronology_summary.md; research/osint/mission_11_osint_expansion.md","Unable to verify in primary archive","Unknown","Maps to CHR-0025."
CH05-P034,Later Developments,118,"The 2022-2026 Webb identity and genetic-genealogy chronology is retained only as an unable-to-verify later placeholder and not treated as an officially verified identity event.","research/chronology/chronology_master.csv; research/publication/identity_status_guidance.md; research/osint/mission_11_osint_expansion.md","Unable to verify in primary archive","Unknown","Maps to CHR-0026."
CH05-P035,Master Chronology Table,120-124,"The master timeline is included from the Mission 5 LaTeX table with event IDs, dates, locations, summaries, sources, and verification status.","manuscript/tables/timeline_ready_for_latex.tex; research/chronology/chronology_master.csv","Repository-generated table","High","Table included unchanged."
CH05-P036,Chronology Assessment,128,"The strongest chronology anchors are discovery, transport-ticket evidence, evening sightings, initial search, mortuary transfer, specimen receipt, negative common-poison analysis, Tamam Shud discovery, suitcase lead, and inquest proceedings.","research/chronology/chronology_master.csv; research/chronology/chronology_summary.md","Chronology synthesis","High","Summarizes verified and high-confidence partial events."
CH05-P037,Chronology Assessment,130,"Partially verified chronology prevents overstatement of death timing, search timing, Tamam Shud discovery date, Rubaiyat provenance, suitcase custody, and 1958 file status.","research/chronology/chronology_summary.md; research/chronology/chronology_uncertainties.csv","Chronology uncertainty synthesis","High","No gaps filled by inference."
CH05-P038,Chronology Assessment,132,"The largest chronology gaps concern ticket use, evening-sighting identity continuity, exact death time/place, search timing, Rubaiyat recovery, suitcase custody, and modern official-status documentation.","research/chronology/chronology_summary.md; research/chronology/chronology_uncertainties.csv","Chronology uncertainty synthesis","High","Matches Mission 5 gap list."
CH05-P039,Chronology Uncertainty Table,134-151,"The uncertainty table groups the major chronology uncertainties by evidence area and related CHR records.","research/chronology/chronology_uncertainties.csv; research/chronology/chronology_summary.md","Repository-derived summary","High","Chapter-level summary table."
CH05-P040,Chronology Assessment,153,"The chronology supports disciplined sequencing of events, but not a completed explanation.","research/chronology/chronology_summary.md; documentation/authoring/manuscript_consistency_rules.md","Methodological conclusion","High","No hypothesis evaluation."
