paragraph_id,chapter_section,lines,claim_summary,supporting_repository_assets,verification_status,confidence,notes
CH03-P011,Primary Sources,58,"The 1949 and 1958 inquest reproductions support page-level indexing, while official archive copies and page-for-page comparison remain needed.","research/primary_sources/primary_document_inventory.csv; research/primary_sources/restricted_unavailable_records.csv; research/indexes/document_page_index.csv; research/primary_sources/mission_3_summary.md","Supported with caveat","High","Does not treat reproductions as original official copies."
CH03-P012,Primary Sources,60,"Police-source material is present but incomplete; SAPOL open file, original property registers, and original police evidence inventories remain unavailable or restricted.","research/primary_sources/primary_document_inventory.csv; research/primary_sources/restricted_unavailable_records.csv; research/primary_sources/mission_3_summary.md","Supported by restricted-record register","High","Limitation statement."
CH03-P013,Primary Sources,62,"Medical and forensic material is present through inquest testimony, forensic identifiers, fingerprint and tooth charts, and medical registers, but complete original lab records and post-2021 forensic reports were not acquired.","research/forensic_medical/forensic_medical_summary.md; research/forensic_medical/forensic_identifiers_register.csv; research/primary_sources/primary_document_inventory.csv; research/primary_sources/restricted_unavailable_records.csv","Supported by forensic and restriction registers","High","No medical conclusion introduced."
CH03-P014,Secondary Sources,66,"Secondary sources provide context, source discovery, interpretation, and primary-source retrieval leads, but do not replace original records.","documentation/workflows/RESEARCH_WORKFLOW.md; documentation/workflows/VERIFICATION_WORKFLOW.md; research/intelligence/source_reliability_matrix.csv","Supported by methodology assets","High","Source-use rule."
CH03-P015,Secondary Sources,68,"The source register includes academic/professional material, book research, institutional history, modern reporting, and supplementary tools whose value depends on provenance and source support.","research/database/source_register.csv; research/intelligence/source_reliability_matrix.csv","Supported by source register","High","No specific secondary claim adopted."
CH03-P016,Secondary Sources,70,"Modern identity, DNA, and genealogy reporting is treated as an update layer and does not equal official identity determination without official coroner/SAPOL/FSSA records.","research/osint/mission_11_summary.md; research/osint/source_register_mission11.csv; research/publication/identity_status_guidance.md; research/database/decision_log.csv","Supported by OSINT and identity guidance","High","Preserves conditional identity wording."
CH03-P017,Secondary Sources,72,"The prior analytical dossier is retained only as an internal prior-assessment source for claims, hypotheses, and questions, not as primary case evidence.","research/database/decision_log.csv; research/source_logs/internal_prior_assessment_2025.csv; documentation/workflows/VERIFICATION_WORKFLOW.md","Supported by decision log","High","Matches DEC-0001."
CH03-P018,Archival Collections,76,"The repository records pathways connected with State Records SA, SAPOL, FSSA, NAA, Trove/NLA, NFSA, University of Adelaide-hosted material, ABC, Smithsonian, and other publication or library routes.","research/database/source_register.csv; research/primary_sources/primary_document_inventory.csv; research/publication/reference_audit.csv","Supported by repository metadata","High","Repository-pathway statement."
CH03-P019,Archival Collections,78,"State Records SA is the identified custodian pathway for the 1949 and 1958 coronial files, with the 1958 file requiring Coroner's Court access.","research/database/source_register.csv; research/primary_sources/restricted_unavailable_records.csv; research/primary_sources/mission_3_summary.md","Supported by source and restricted records","High","Record-access statement."
CH03-P020,Archival Collections,80,"Trove/NLA provides contemporary newspaper records and public legal notices, but these remain below official transcripts and original records in the source hierarchy.","research/database/source_register.csv; research/osint/source_register_mission11.csv; research/intelligence/source_reliability_matrix.csv","Supported by source hierarchy","High","Reliability weighting only."
CH03-P021,Archival Collections,82,"NAA provides government and institutional context rather than direct case evidence in the current corpus.","research/database/source_register.csv; research/intelligence/source_reliability_matrix.csv; research/intelligence/context_assessment.md","Supported by source register and context assets","High","Avoids direct-linkage overclaim."
CH03-P022,Archival Collections,84,"The University of Adelaide-hosted Abbott archive is a practical source pathway for public reproductions, but its files are treated as later reproductions unless custodian-confirmed.","research/primary_sources/primary_document_inventory.csv; research/primary_sources/README.md; research/database/source_register.csv","Supported by primary-source notes","High","Authenticity caveat."
CH03-P023,Archive Summary Table,86-102,"Table summarizes archive and repository roles with principal limitations.","research/database/source_register.csv; research/primary_sources/restricted_unavailable_records.csv; research/intelligence/source_reliability_matrix.csv","Supported by repository and reliability assets","High","Descriptive table only."
CH03-P024,Evidence Classification,106,"Evidence classification determines handling, weighting, and cross-reference treatment, not truth by itself.","documentation/workflows/VERIFICATION_WORKFLOW.md; research/database/README.md; documentation/authoring/manuscript_authoring_guide.md","Supported by methodology assets","High","Classification rule."
CH03-P025,Evidence Classification,108,"Documentary, physical, and medical evidence categories are defined by examples in the repository.","research/database/evidence_register.csv; research/primary_sources/primary_document_inventory.csv; research/forensic_medical/forensic_medical_summary.md; research/physical_evidence/physical_evidence_summary.md","Supported by evidence layers","High","Category definitions only."
CH03-P026,Evidence Classification,110,"Witness, photographic, genealogical, contextual, and analytical evidence categories are defined by examples in the repository.","research/indexes/witness_index.csv; research/database/image_catalogue.csv; research/osint/mission_11_summary.md; research/intelligence/context_assessment.md; research/verification/verification_matrix.csv","Supported by research layers","High","Category definitions only."
CH03-P027,Evidence Classification Table,112-130,"Table defines evidence classes, examples, and use constraints.","research/database/README.md; research/database/evidence_register.csv; research/intelligence/evidence_weight_matrix.csv; documentation/authoring/manuscript_authoring_guide.md","Supported by database and weighting assets","High","No evidentiary interpretation."
CH03-P028,Source Reliability,134,"Sources are weighted by proximity, official status, authenticity, custody, and transparency; official and certified records outrank contemporary newspapers and later sources.","research/intelligence/source_reliability_matrix.csv; documentation/workflows/VERIFICATION_WORKFLOW.md; manuscript/chapters/02-methodology.tex","Supported by reliability framework","High","Consistent with Chapter 2."
CH03-P029,Source Reliability,136,"Researcher/lab accounts, later journalism, books, podcasts, and commentary are useful for leads or context but must be separated from underlying primary documents.","research/intelligence/source_reliability_matrix.csv; documentation/workflows/RESEARCH_WORKFLOW.md; research/osint/evidence_reliability_matrix.csv","Supported by source hierarchy","High","No source-specific factual claim accepted."
CH03-P030,Source Reliability,138,"The primary-document inventory records 22 of 23 records as later reproductions, requiring care with wording, page sequence, enclosures, image quality, and official custody.","research/primary_sources/primary_document_inventory.csv; research/primary_sources/README.md","Verified repository count","High","Authenticity limitation."
CH03-P031,Source Reliability,140,"OCR is a search aid, not a final transcription authority where exact wording matters.","research/indexes/transcription_queue.csv; documentation/governance/SOURCE_TRANSPARENCY_POLICY.md; documentation/authoring/manuscript_authoring_guide.md","Supported by transparency and indexing assets","High","Quality-control rule."
CH03-P032,Source Reliability,142,"Restricted or missing records are documented so absence of material is not mistaken for negative evidence.","research/primary_sources/restricted_unavailable_records.csv; documentation/governance/SOURCE_TRANSPARENCY_POLICY.md; research/database/intelligence_gap_register.csv","Supported by restriction and gap registers","High","Uncertainty-control statement."
CH03-P033,Repository Structure,146,"The corpus is organized into source, document, evidence, person, location, timeline, verification, chronology, witness, exhibit, victimology, forensic, physical evidence, intelligence, OSINT, image, reference, and publication-readiness layers.","research/database/README.md; documentation/PROJECT_ARCHITECTURE.md; research/publication/repository_freeze_report.md","Supported by repository architecture","High","Research organization summary."
CH03-P034,Repository Structure,148,"Stable identifiers preserve the audit trail across SRC, DOC, EV, PER, LOC, and event identifiers.","research/database/README.md; documentation/PROJECT_ARCHITECTURE.md; research/publication/mission_12_5_summary.md","Supported by database documentation","High","Identifier summary."
CH03-P035,Repository Structure,150,"The reference audit integrates source, document, and Mission 11 OSINT records; all 63 reference records had no missing required fields at publication readiness audit.","research/publication/reference_audit.csv; research/publication/repository_freeze_report.md; research/manuscript_blueprint/references_integration_plan.md","Verified repository audit result","High","Bibliography readiness statement."
CH03-P036,Repository Structure,152,"The image catalogue and figure-rights register are separate from prose, with 9 image leads and 10 planned figure entries; final figure insertion is deferred pending rights or replacement resolution.","research/database/image_catalogue.csv; research/publication/figure_rights_register.csv; research/publication/repository_freeze_report.md","Verified repository count and freeze caveat","High","No figures inserted."
CH03-P037,Limitations of the Documentary Record,156,"The project has not acquired direct official copies of every relevant original-custodian record; public reproductions are available for key material but comparison remains future work.","research/primary_sources/restricted_unavailable_records.csv; research/primary_sources/mission_3_summary.md; research/publication/repository_freeze_report.md","Supported by restriction register","High","Archive limitation."
CH03-P038,Limitations of the Documentary Record,158,"High-value unavailable or restricted records include official 1949 and 1958 inquest pathways, SAPOL open file, property/evidence registers, and post-2021 forensic reports.","research/primary_sources/restricted_unavailable_records.csv; research/intelligence/intelligence_requirements.csv; research/publication/repository_freeze_report.md","Supported by restricted-record register","High","No assumption about contents."
CH03-P039,Limitations of the Documentary Record,160,"Physical-evidence documentation is incomplete, with unknown custodianship, fragmentary custody, or unresolved survival status for many entries.","research/database/evidence_register.csv; research/physical_evidence/chain_of_custody_confidence_matrix.csv; research/physical_evidence/physical_evidence_summary.md","Supported by evidence and custody registers","High","Distinguishes object, custody, interpretation."
CH03-P040,Limitations of the Documentary Record,162,"Candidate images are not inserted until publication rights and source reliability are resolved.","research/database/image_catalogue.csv; research/publication/figure_rights_register.csv; research/publication/repository_freeze_report.md","Supported by figure-rights assets","High","Rights-control statement."
CH03-P041,Limitations of the Documentary Record,164,"The corpus is a controlled and expandable evidence base rather than a complete official archive.","research/publication/repository_freeze_report.md; research/primary_sources/restricted_unavailable_records.csv; documentation/PROJECT_ARCHITECTURE.md","Supported by freeze and architecture assets","High","Closing limitation statement."
