observation_id,observation_category,description,witness_source,document_id,page_reference,exact_wording_or_concise_paraphrase,verification_status,confidence,notes
MED-0013,organ congestion,"Kidneys, liver, lungs, spleen and brain/upper vessels were described with congestion or engorgement.",John Matthew Dwyer,DOC-0001,pp.37-39,Concise paraphrase.,Verified,High,Exact organ-by-organ language should be quoted from official copy only.
MED-0014,heart findings,Heart was normal in size and otherwise normal; muscle was tough/firm; heart was if anything contracted.,John Matthew Dwyer,DOC-0001,p.37,Concise paraphrase.,Verified,High,Hicks later relied on contracted-heart observation.
MED-0015,internal pathology,"Spleen described as strikingly large and firm, about three times normal size.",John Matthew Dwyer,DOC-0001,p.37,Concise paraphrase.,Verified,High,No final cause inferred.
MED-0016,stomach contents,"Food in stomach estimated by Dwyer as present up to 3 or 4 hours before death, with anxiety caveat.",John Matthew Dwyer,DOC-0001,p.37,Concise paraphrase.,Partially Verified,Moderate,Meal timing is uncertain and physiologically caveated.
MED-0017,internal pathology,Microscopy showed destruction of centres of liver lobules; otherwise congestion signs predominated.,John Matthew Dwyer,DOC-0001,p.39,Concise paraphrase.,Partially Verified,Moderate,OCR damaged; Cleland later found liver section not explanatory.
MED-0018,uncertainty,"Dwyer stated death was not natural and immediate cause was heart failure, but he could not state what caused heart failure.",John Matthew Dwyer,DOC-0001,p.39,Concise paraphrase.,Verified,High,Do not convert to final cause of death.
MED-0019,toxicology,"Dwyer initially suggested a barbiturate or soluble hypnotic, then accepted Cowan's negative finding while preserving possibility language.",John Matthew Dwyer,DOC-0001,pp.39-41,Concise paraphrase.,Partially Verified,Moderate,"Hypothesis by medical witness, not detected substance."
MED-0020,injuries/trauma,Dwyer saw no evidence of hypodermic needle use; two recent abrasions on right hand did not appear significant.,John Matthew Dwyer,DOC-0001,p.43,Concise paraphrase.,Partially Verified,Moderate,A tiny injection mark could still be missed per later witnesses.
MED-0021,external body condition,Legs were sunburned to the crotch; trunk was not sunburned; Dwyer attributed burn to previous season or older.,John Matthew Dwyer,DOC-0001,p.45,Concise paraphrase.,Partially Verified,Moderate,Do not infer residence/travel from this alone.
MED-0022,toxicology,"Cowan received stomach contents, liver/muscle, urine and blood on 2 December 1948.",Robert James Cowan,DOC-0001,p.47,Concise paraphrase.,Verified,High,Specimen chain from P.C. Sutherland; full lab file missing.
MED-0023,toxicology,Cowan tested for common poisons and found no signs of any common poison in the submitted specimens.,Robert James Cowan,DOC-0001,p.47,Concise paraphrase.,Verified,High,Not equivalent to no poison present.
MED-0024,toxicology,"Cowan identified cyanides, alkaloids, barbiturates and carbolic acid as among common poisons tested/considered.",Robert James Cowan,DOC-0001,p.47,Concise paraphrase.,Verified,High,Exact list may not be exhaustive.
MED-0025,uncertainty,"Cowan said if death were by poison, it would be a very rare poison; he thought natural causes more likely than poisoning.",Robert James Cowan,DOC-0001,p.49,Concise paraphrase.,Verified,High,Conflicts with other medical witnesses' emphasis.
MED-0026,post-mortem handling,Lawson made a mould/cast of the body features on 7 June 1949; formalin embalming affected appearance.,Paul Francis Lawson,DOC-0001,p.27,Concise paraphrase.,Verified,High,Relevant to death mask limitations.
MED-0027,fingerprints,"Durham photographed and fingerprinted the deceased and circulated prints/photos to Australian states, New Zealand and overseas fingerprint bureaus.",Patrick James Durham,DOC-0001,p.63; DOC-0016,Concise paraphrase.,Verified,High,No identification resulted according to testimony; full circulation log unavailable.
MED-0028,post-mortem handling,"Clothing, suitcase and bust were marked as exhibits and ordered kept in police custody.",Raymond Lionel Leane recalled / Coroner,DOC-0001,p.77,Concise paraphrase.,Verified,High,Current custody not established.
MED-0029,external body condition,"Cleland agreed with age range about 40-45 or 40-50 and noted clean nails, clean shoes and cared-for appearance.",John Burton Cleland,DOC-0001,p.81,Concise paraphrase.,Partially Verified,Moderate,Observation after embalming; avoid status inference.
MED-0030,uncertainty,"Cleland considered death not natural and probably poison, but accepted Cowan found no poison present.",John Burton Cleland,DOC-0001,pp.81-85,Concise paraphrase.,Partially Verified,Moderate,Opinion not final cause determination.
MED-0031,lividity/rigor,Cleland discussed lividity around ears/neck as perhaps surprising but explainable by head support.,John Burton Cleland,DOC-0001,p.83,Concise paraphrase.,Partially Verified,Moderate,Interpretive; not proof of original death location.
MED-0032,toxicology,"Cleland discussed barbiturates, alkaloids, cyanide, curare/tubarine and injection possibilities but found no poison fully fit the circumstances.",John Burton Cleland,DOC-0001,pp.85-87,Concise paraphrase.,Partially Verified,Moderate,Considered substances only.
MED-0033,time of death,"Bennett examined the body at 9:40 a.m. on 1 December and estimated death up to eight hours earlier, not more than eight hours.",John Barkly Bennett,DOC-0001,p.93,Concise paraphrase.,Verified,High,Estimate based on cursory look/rigor and cyanosis.
MED-0034,toxicology,Hicks thought barbiturates and morphine were unlikely causes under the timing and pathology described.,Cedric Stanton Hicks,DOC-0001,p.95,Concise paraphrase.,Partially Verified,Moderate,Chemical names in page are distorted; preserve category only.
MED-0035,toxicology,Hicks suspected a drug group capable of stopping the heart in systole and difficult to detect by ordinary chemical tests.,Cedric Stanton Hicks,DOC-0001,p.97,Concise paraphrase.,Partially Verified,Low,Specific group/member names are obscured; do not name without manual transcription.
MED-0036,uncertainty,Hicks stated body relocation would remove some time-of-death difficulties; this was framed as conditional.,Cedric Stanton Hicks,DOC-0001,p.99,Concise paraphrase.,Partially Verified,Moderate,"Scenario caveat, not finding."
MED-0037,lividity/rigor,Hicks stated convulsions may precede death and the 7 p.m. arm movement could have been convulsive.,Cedric Stanton Hicks,DOC-0001,p.101,Concise paraphrase.,Partially Verified,Low,OCR/handwriting damage; use cautiously.
MED-0038,toxicology,Hicks excluded diabetic coma/insulin on liver and other findings and stated oral route would act less rapidly than injection.,Cedric Stanton Hicks,DOC-0001,p.101,Concise paraphrase.,Partially Verified,Low,Needs manual transcription before quotation.
