document_id,archive,collection,reference_number,title,date,author,document_type,page_count,availability,access_restrictions,digital_copy_available,repository_url,copyright_status,authenticity,condition,summary,related_evidence,related_people,related_timeline_events,outstanding_questions,possible_claims_to_clarify
DOC-0011,Derek Abbott primary-source archive; probable source/custodian varies by record,New South Wales Police Gazette via Abbott archive,1949 pp. 21-662,"Missing Persons, New South Wales Police Gazette 1949",1949,New South Wales Police,Police gazette compilation,50,Acquired local digital copy,None observed for public copy; original custodian restrictions unknown,Yes,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/NSW_police_gazette1949.pdf,Unknown; likely Crown/archive or third-party rights; Abbott-hosted reproduction terms unclear,Later Reproduction,Digital copy readable; visual condition requires page-level review,Searchable police gazette compilation for missing-person comparison work.,N/A,PER-0001 possible comparison leads,EVENT-0002,Verify against original custodian record and page-level content before claim verification.,PA2025-020; PA2025-021; PA2025-057
DOC-0012,Derek Abbott primary-source archive; probable source/custodian varies by record,Lawson diaries via Abbott archive,Unknown,Lawson diaries,1949,Lawson,Diary extract / notes,10,Acquired local digital copy,None observed for public copy; original custodian restrictions unknown,Yes,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/lawson_diaries.pdf,Unknown; likely Crown/archive or third-party rights; Abbott-hosted reproduction terms unclear,Later Reproduction,Digital copy readable; visual condition requires page-level review,Ten-page diary scan; no meaningful OCR text observed; page-level review required.,EV-0007 possible,Unknown,N/A,Verify against original custodian record and page-level content before claim verification.,PA2025-023; PA2025-037
DOC-0013,Derek Abbott primary-source archive; probable source/custodian varies by record,Len Brown notes via Abbott archive,Unknown,Len Brown's notes,1987,Len Brown,Investigator notes,1,Acquired local digital copy,None observed for public copy; original custodian restrictions unknown,Yes,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/Len_notes_1987.pdf,Unknown; likely Crown/archive or third-party rights; Abbott-hosted reproduction terms unclear,Later Reproduction,Digital copy readable; visual condition requires page-level review,One-page later note; not contemporary primary evidence but may describe evidence custody/source history.,EV-0001; EV-0002; EV-0003,Unknown,EVENT-0014,Verify against original custodian record and page-level content before claim verification.,PA2025-014; PA2025-044; PA2025-065
DOC-0014,Derek Abbott primary-source archive; probable source/custodian varies by record,Pakies guest book via Abbott archive,Unknown,Pakie's guest book,1929-1966,Pakies / unknown custodian,Guest book / register,105,Acquired local digital copy,None observed for public copy; original custodian restrictions unknown,Yes,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/pakies.pdf,Unknown; likely Crown/archive or third-party rights; Abbott-hosted reproduction terms unclear,Later Reproduction,Digital copy readable; visual condition requires page-level review,Large guest-book scan; no OCR text beyond page count observed; potential contextual/person lead only.,N/A,Unknown,N/A,Verify against original custodian record and page-level content before claim verification.,PA2025-020; PA2025-021
DOC-0015,Derek Abbott primary-source archive; probable source/custodian varies by record,Rubaiyat code image via Abbott archive,Unknown,Full-resolution image of code letters at back of Omar Khayyam,1948 image content; scan date unknown,Unknown police/source photographer,Evidence photograph / image,1 image,Acquired local digital copy,None observed for public copy; original custodian restrictions unknown,Yes,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/SM-code_full_res.jpg,Unknown; likely Crown/archive or third-party rights; Abbott-hosted reproduction terms unclear,Later Reproduction,Digital copy readable; visual condition requires page-level review,"JPEG image, 1802x1440 pixels, 400 DPI density.",EV-0002,PER-0001; PER-0006; PER-0008,EVENT-0011; EVENT-0012,Verify against original custodian record and page-level content before claim verification.,PA2025-044; PA2025-049; PA2025-050; PA2025-051; PA2025-058; PA2025-061
DOC-0016,Derek Abbott primary-source archive; probable source/custodian varies by record,Fingerprint chart via Abbott archive,Unknown,Somerton Man fingerprint chart,1948-1949 likely; scan date unknown,Police / fingerprint branch unknown,Fingerprint chart,1,Acquired local digital copy,None observed for public copy; original custodian restrictions unknown,Yes,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/fingerprints.pdf,Unknown; likely Crown/archive or third-party rights; Abbott-hosted reproduction terms unclear,Later Reproduction,Digital copy readable; visual condition requires page-level review,One-page fingerprint chart scan; no extractable OCR text observed.,EV-0015,PER-0001,EVENT-0002; EVENT-0005,Verify against original custodian record and page-level content before claim verification.,PA2025-021; PA2025-024
DOC-0017,Derek Abbott primary-source archive; probable source/custodian varies by record,Tooth chart via Abbott archive,Unknown,Somerton Man tooth chart,1948-1949 likely; scan date unknown,Medical/dental examiner unknown,Dental/tooth chart,1,Acquired local digital copy,None observed for public copy; original custodian restrictions unknown,Yes,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/teeth.pdf,Unknown; likely Crown/archive or third-party rights; Abbott-hosted reproduction terms unclear,Later Reproduction,Digital copy readable; visual condition requires page-level review,One-page tooth chart scan; no extractable OCR text observed.,EV-0016,PER-0001,EVENT-0004,Verify against original custodian record and page-level content before claim verification.,PA2025-021; PA2025-024; PA2025-037
DOC-0018,Derek Abbott primary-source archive; probable source/custodian varies by record,Military record via Abbott archive,Unknown service record reference,Alf Boxall's WWI Officer's Record of Service,Military service period; scan date unknown,Australian military authority unknown,Military service record,1,Acquired local digital copy,None observed for public copy; original custodian restrictions unknown,Yes,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/boxall_service_record.pdf,Unknown; likely Crown/archive or third-party rights; Abbott-hosted reproduction terms unclear,Later Reproduction,Digital copy readable; visual condition requires page-level review,One-page service-record reproduction with limited OCR text.,N/A,PER-0008,EVENT-0012,Verify against original custodian record and page-level content before claim verification.,PA2025-014; PA2025-036; PA2025-044
DOC-0019,Derek Abbott primary-source archive; probable source/custodian varies by record,Sands and McDougall / Abbott archive,Unknown,"Jetty Road, Glenelg, 1948 with occupants",1948 directory/map content; scan date unknown,Directory compiler unknown,Map/directory extract,1,Acquired local digital copy,None observed for public copy; original custodian restrictions unknown,Yes,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/JettyRd1948.pdf,Unknown; likely Crown/archive or third-party rights; Abbott-hosted reproduction terms unclear,Later Reproduction,Digital copy readable; visual condition requires page-level review,One-page searchable map/directory extract for Glenelg location research.,EV-0002,PER-0006 possible; PER-0008 possible,EVENT-0011; EVENT-0012,Verify against original custodian record and page-level content before claim verification.,PA2025-013; PA2025-014; PA2025-066
DOC-0020,Derek Abbott primary-source archive; probable source/custodian varies by record,Abbott archive,Unknown,Wells copy of Omar Khayyam,Unknown,Omar Khayyam / publisher unknown,Book scan,Unknown,Located but not acquired,None observed for public copy; original custodian restrictions unknown,"Yes at source, not locally preserved in this pass",http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/W%26T_rubaiyat_wells_copy.pdf,Unknown; likely Crown/archive or third-party rights; Abbott-hosted reproduction terms unclear,Later Reproduction,Not inspected locally,Located at public archive but not acquired due 1.28 GB transfer size during this pass.,EV-0002,Unknown,N/A,Verify against original custodian record and page-level content before claim verification.,PA2025-036; PA2025-044
DOC-0021,Derek Abbott primary-source archive; probable source/custodian varies by record,Sands and McDougall directories via Abbott archive,Unknown,1947 South Australian Sands and McDougall Directory,1947,Sands and McDougall,Directory scan,Unknown,Located but not acquired,None observed for public copy; original custodian restrictions unknown,"Yes at source, not locally preserved in this pass",http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/S%26M1947.pdf,Unknown; likely Crown/archive or third-party rights; Abbott-hosted reproduction terms unclear,Later Reproduction,Not inspected locally,Located at public archive but not acquired due 1.28 GB transfer size during this pass.,N/A,PER-0006 possible; PER-0009 possible,N/A,Verify against original custodian record and page-level content before claim verification.,PA2025-013; PA2025-025; PA2025-030; PA2025-066
DOC-0022,Derek Abbott primary-source archive; probable source/custodian varies by record,Sands and McDougall directories via Abbott archive,Unknown,1948 South Australian Sands and McDougall Directory,1948,Sands and McDougall,Directory scan,Unknown,Located but not acquired,None observed for public copy; original custodian restrictions unknown,"Yes at source, not locally preserved in this pass",http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/S%26M1948.pdf,Unknown; likely Crown/archive or third-party rights; Abbott-hosted reproduction terms unclear,Later Reproduction,Not inspected locally,Located at public archive but not acquired due 1.28 GB transfer size during this pass.,N/A,PER-0006 possible; PER-0009 possible,N/A,Verify against original custodian record and page-level content before claim verification.,PA2025-013; PA2025-025; PA2025-030; PA2025-066
DOC-0023,Derek Abbott primary-source archive; probable source/custodian varies by record,Sands and McDougall directories via Abbott archive,Unknown,1950 South Australian Sands and McDougall Directory,1950,Sands and McDougall,Directory scan,Unknown,Located but not acquired,None observed for public copy; original custodian restrictions unknown,"Yes at source, not locally preserved in this pass",http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/S%26M1950.pdf,Unknown; likely Crown/archive or third-party rights; Abbott-hosted reproduction terms unclear,Later Reproduction,Not inspected locally,Located at public archive but not acquired due 1.28 GB transfer size during this pass.,N/A,PER-0006 possible; PER-0009 possible,N/A,Verify against original custodian record and page-level content before claim verification.,PA2025-013; PA2025-025; PA2025-030; PA2025-066
