record_id,bib_key,source_group,title,author,year,publication_or_repository,url,access_date,archive_reference,document_type,duplicate_of,missing_required_fields,biblatex_status,reliability_or_note
DOC-0003,doc-doc-0003,DOC,Unknown man death certificate copy,"Registrar of Births, Deaths and Marriages",1958,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/SM_death_cert1958.pdf,2026-07-07,"Births, Deaths and Marriages Registration Office, Adelaide via Abbott archive; Unknown certificate code",Death certificate,,None,Generated - pending biber validation,Source year present; Certified Copy
DOC-0004,doc-doc-0004,DOC,Criminal Investigation Branch report 1948,Criminal Investigation Branch,1948,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/CIB_1948.pdf,2026-07-07,CIB / Abbott archive; Unknown,Police report,,None,Generated - pending biber validation,Source year present; Later Reproduction
DOC-0005,doc-doc-0005,DOC,Criminal Investigation Branch report 1959,Criminal Investigation Branch,1959,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/CIB_1959.pdf,2026-07-07,CIB / Abbott archive; Unknown,Police report,,None,Generated - pending biber validation,Source year present; Later Reproduction
DOC-0006,doc-doc-0006,DOC,Police file 1949,South Australia Police / CIB likely,1949,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/police_file1949.pdf,2026-07-07,Police file / Abbott archive; Unknown,Police file extract,,None,Generated - pending biber validation,Source year present; Later Reproduction
DOC-0007,doc-doc-0007,DOC,City Coroner's Police Report on the Mangnoson Case,City Coroner / Police,1949,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/mangnoson1949.pdf,2026-07-07,Mangnoson case materials via Abbott archive; Unknown,Police/coroner report,,None,Generated - pending biber validation,Source year present; Later Reproduction
DOC-0008,doc-doc-0008,DOC,Magisterial Inquiry on Marshall Case,Magisterial inquiry authority,1945,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/magisterial1945.pdf,2026-07-07,Marshall case materials via Abbott archive; Unknown,Magisterial inquiry,,None,Generated - pending biber validation,Source year present; Later Reproduction
DOC-0009,doc-doc-0009,DOC,"Joseph Marshall missing person notice, New South Wales Police Gazette",New South Wales Police,1945,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/NSW_police_gazette1945.pdf,2026-07-07,New South Wales Police Gazette via Abbott archive; 1945 p. 325,Police gazette page,,None,Generated - pending biber validation,Source year present; Later Reproduction
DOC-0010,doc-doc-0010,DOC,"Missing Persons, New South Wales Police Gazette 1948",New South Wales Police,1948,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/NSW_police_gazette1948.pdf,2026-07-07,New South Wales Police Gazette via Abbott archive; 1948 pp. 8-668,Police gazette compilation,,None,Generated - pending biber validation,Source year present; Later Reproduction
DOC-0011,doc-doc-0011,DOC,"Missing Persons, New South Wales Police Gazette 1949",New South Wales Police,1949,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/NSW_police_gazette1949.pdf,2026-07-07,New South Wales Police Gazette via Abbott archive; 1949 pp. 21-662,Police gazette compilation,,None,Generated - pending biber validation,Source year present; Later Reproduction
DOC-0012,doc-doc-0012,DOC,Lawson diaries,Lawson,1949,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/lawson_diaries.pdf,2026-07-07,Lawson diaries via Abbott archive; Unknown,Diary extract / notes,,None,Generated - pending biber validation,Source year present; Later Reproduction
DOC-0013,doc-doc-0013,DOC,Len Brown's notes,Len Brown,1987,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/Len_notes_1987.pdf,2026-07-07,Len Brown notes via Abbott archive; Unknown,Investigator notes,,None,Generated - pending biber validation,Source year present; Later Reproduction
DOC-0014,doc-doc-0014,DOC,Pakie's guest book,Pakies / unknown custodian,1929,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/pakies.pdf,2026-07-07,Pakies guest book via Abbott archive; Unknown,Guest book / register,,None,Generated - pending biber validation,Source year present; Later Reproduction
DOC-0015,doc-doc-0015,DOC,Full-resolution image of code letters at back of Omar Khayyam,Unknown police/source photographer,1948,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/SM-code_full_res.jpg,2026-07-07,Rubaiyat code image via Abbott archive; Unknown,Evidence photograph / image,,None,Generated - pending biber validation,Source year present; Later Reproduction
DOC-0016,doc-doc-0016,DOC,Somerton Man fingerprint chart,Police / fingerprint branch unknown,1948,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/fingerprints.pdf,2026-07-07,Fingerprint chart via Abbott archive; Unknown,Fingerprint chart,,None,Generated - pending biber validation,Source year present; Later Reproduction
DOC-0017,doc-doc-0017,DOC,Somerton Man tooth chart,Medical/dental examiner unknown,1948,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/teeth.pdf,2026-07-07,Tooth chart via Abbott archive; Unknown,Dental/tooth chart,,None,Generated - pending biber validation,Source year present; Later Reproduction
DOC-0018,doc-doc-0018,DOC,Alf Boxall's WWI Officer's Record of Service,Australian military authority unknown,2026,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/boxall_service_record.pdf,2026-07-07,Military record via Abbott archive; Unknown service record reference,Military service record,,None,Generated - pending biber validation,Source/publication year unavailable; access year used for BibLaTeX compatibility; Later Reproduction
DOC-0019,doc-doc-0019,DOC,"Jetty Road, Glenelg, 1948 with occupants",Directory compiler unknown,1948,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/JettyRd1948.pdf,2026-07-07,Sands and McDougall / Abbott archive; Unknown,Map/directory extract,,None,Generated - pending biber validation,Source year present; Later Reproduction
DOC-0020,doc-doc-0020,DOC,Wells copy of Omar Khayyam,Omar Khayyam / publisher unknown,2026,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/W%26T_rubaiyat_wells_copy.pdf,2026-07-07,Abbott archive; Unknown,Book scan,,None,Generated - pending biber validation,Source/publication year unavailable; access year used for BibLaTeX compatibility; Later Reproduction
DOC-0021,doc-doc-0021,DOC,1947 South Australian Sands and McDougall Directory,Sands and McDougall,1947,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/S%26M1947.pdf,2026-07-07,Sands and McDougall directories via Abbott archive; Unknown,Directory scan,,None,Generated - pending biber validation,Source year present; Later Reproduction
DOC-0022,doc-doc-0022,DOC,1948 South Australian Sands and McDougall Directory,Sands and McDougall,1948,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/S%26M1948.pdf,2026-07-07,Sands and McDougall directories via Abbott archive; Unknown,Directory scan,,None,Generated - pending biber validation,Source year present; Later Reproduction
DOC-0023,doc-doc-0023,DOC,1950 South Australian Sands and McDougall Directory,Sands and McDougall,1950,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/S%26M1950.pdf,2026-07-07,Sands and McDougall directories via Abbott archive; Unknown,Directory scan,,None,Generated - pending biber validation,Source year present; Later Reproduction
